code,ts,open,high,low,close,pb,pa,nticks,vol,amt,vwap,mid_close
IF0000,2024-06-12 09:36:00,3537.8,3538.2,3535.6,3538.0,3537.4,3538.0,119,439.0,465831420.0,3537.0646924829157,3537.7
IF0000,2024-06-12 09:37:00,3538.0,3538.8,3536.0,3536.2,3536.0,3536.2,117,262.0,278046900.0,3537.492366412214,3536.1
IF0000,2024-06-12 09:38:00,3536.2,3537.0,3533.8,3534.2,3534.2,3534.4,110,293.0,310767960.0,3535.4716723549486,3534.3
IF0000,2024-06-12 09:39:00,3534.0,3534.6,3531.6,3533.8,3533.4,3533.8,117,369.0,391091040.0,3532.891056910569,3533.6000000000004
IF0000,2024-06-12 09:40:00,3533.6,3534.2,3530.6,3531.2,3531.2,3531.6,119,404.0,428141880.0,3532.5237623762378,3531.3999999999996
IF0000,2024-06-12 09:41:00,3531.6,3534.2,3531.6,3533.2,3533.2,3533.4,111,398.0,421823820.0,3532.8628140703518,3533.3
IF0000,2024-06-12 09:42:00,3533.4,3534.2,3532.6,3534.2,3534.0,3534.2,111,217.0,230024340.0,3533.4,3534.1
IF0000,2024-06-12 09:43:00,3533.8,3534.4,3533.4,3534.2,3533.8,3534.2,109,168.0,178111800.0,3533.964285714286,3534.0
IF0000,2024-06-12 09:44:00,3533.6,3534.0,3532.4,3533.6,3533.2,3533.6,103,158.0,167476680.0,3533.2632911392407,3533.3999999999996
IF0000,2024-06-12 09:45:00,3533.6,3534.0,3531.2,3531.4,3531.4,3532.0,112,210.0,222516720.0,3532.0114285714285,3531.7
IF0000,2024-06-12 09:46:00,3531.4,3531.6,3529.2,3530.2,3530.0,3530.4,113,264.0,279615780.0,3530.5022727272726,3530.2
IF0000,2024-06-12 09:47:00,3530.0,3532.0,3529.6,3530.0,3530.0,3530.2,104,222.0,235142880.0,3530.673873873874,3530.1
IF0000,2024-06-12 09:48:00,3530.0,3530.4,3528.0,3529.2,3529.0,3529.6,114,314.0,332429760.0,3528.9783439490448,3529.3
IF0000,2024-06-12 09:49:00,3529.6,3531.0,3529.0,3529.6,3529.4,3530.0,108,207.0,219209760.0,3529.9478260869564,3529.7
IF0000,2024-06-12 09:50:00,3529.6,3529.6,3527.4,3527.6,3527.6,3527.8,109,232.0,245549940.0,3528.0163793103447,3527.7
IF0000,2024-06-12 09:51:00,3527.6,3532.0,3527.0,3531.8,3531.0,3531.8,118,349.0,369496860.0,3529.1008595988537,3531.4
IF0000,2024-06-12 09:52:00,3531.0,3532.6,3530.4,3532.4,3532.2,3532.4,112,185.0,196010880.0,3531.7275675675673,3532.3
IF0000,2024-06-12 09:53:00,3531.6,3535.6,3531.6,3535.2,3535.0,3535.4,108,273.0,289432140.0,3533.9699633699634,3535.2
