code,d,mn,close
IC0000,2023-03-03,1970-01-01 10:02:00,6382.1
IC0000,2023-03-03,1970-01-01 10:03:00,6377.3
IC0000,2023-03-03,1970-01-01 10:04:00,6380.4
IC0000,2023-03-03,1970-01-01 10:05:00,6377.7
IC0000,2023-03-03,1970-01-01 10:06:00,6374.5
IC0000,2023-03-03,1970-01-01 10:07:00,6373.5
IC0000,2023-03-03,1970-01-01 10:08:00,6377.0
IC0000,2023-03-03,1970-01-01 10:09:00,6380.799999999999
IC0000,2023-03-03,1970-01-01 10:10:00,6380.7
IC0000,2023-03-03,1970-01-01 10:11:00,6376.9
IC0000,2023-03-03,1970-01-01 10:12:00,6377.7
IC0000,2023-03-03,1970-01-01 10:13:00,6378.5
IC0000,2023-03-03,1970-01-01 10:14:00,6380.6
IC0000,2023-03-03,1970-01-01 10:15:00,6384.200000000001
IC0000,2023-03-03,1970-01-01 10:16:00,6380.1
IC0000,2023-03-03,1970-01-01 10:17:00,6381.1
IC0000,2023-03-03,1970-01-01 10:18:00,6379.3
IC0000,2023-03-03,1970-01-01 10:19:00,6376.700000000001
IC0000,2023-03-03,1970-01-01 10:20:00,6373.1
IC0000,2023-03-03,1970-01-01 10:21:00,6369.1
IC0000,2023-03-03,1970-01-01 10:22:00,6368.7
IC0000,2023-03-03,1970-01-01 10:23:00,6369.6
IC0000,2023-03-03,1970-01-01 10:24:00,6366.9
IC0000,2023-03-03,1970-01-01 10:25:00,6368.3
IC0000,2023-03-03,1970-01-01 10:26:00,6363.9
IC0000,2023-03-03,1970-01-01 10:27:00,6361.7
IC0000,2023-03-03,1970-01-01 10:28:00,6366.5
IC0000,2023-03-03,1970-01-01 10:29:00,6366.200000000001
IC0000,2023-03-03,1970-01-01 10:30:00,6365.9
IC0000,2023-03-03,1970-01-01 10:31:00,6361.5
IC0000,2023-03-03,1970-01-01 10:32:00,6356.5
IC0000,2023-03-03,1970-01-01 10:33:00,6359.8
IC0000,2023-03-03,1970-01-01 10:34:00,6361.9
IC0000,2023-03-03,1970-01-01 10:35:00,6362.5
IC0000,2023-03-03,1970-01-01 10:36:00,6358.799999999999
IC0000,2023-03-03,1970-01-01 10:37:00,6357.9
IC0000,2023-03-03,1970-01-01 10:38:00,6360.4
IC0000,2023-03-03,1970-01-01 10:39:00,6357.7
IC0000,2023-03-03,1970-01-01 10:40:00,6357.0
IC0000,2023-03-03,1970-01-01 10:41:00,6351.4
IC0000,2023-03-03,1970-01-01 10:42:00,6347.4
IC0000,2023-03-03,1970-01-01 10:43:00,6343.7
IC0000,2023-03-03,1970-01-01 10:44:00,6342.3
IC0000,2023-03-03,1970-01-01 10:45:00,6341.5
IC0000,2023-03-03,1970-01-01 10:46:00,6339.5
IC0000,2023-03-03,1970-01-01 10:47:00,6334.8
IC0000,2023-03-03,1970-01-01 10:48:00,6334.1
IC0000,2023-03-03,1970-01-01 10:49:00,6341.1
IC0000,2023-03-03,1970-01-01 10:50:00,6345.1
IC0000,2023-03-03,1970-01-01 10:51:00,6346.3
IC0000,2023-03-03,1970-01-01 10:52:00,6345.7
IC0000,2023-03-03,1970-01-01 10:53:00,6346.700000000001
IC0000,2023-03-03,1970-01-01 10:54:00,6349.5
IC0000,2023-03-03,1970-01-01 10:55:00,6348.8
IC0000,2023-03-03,1970-01-01 10:56:00,6348.7
IC0000,2023-03-03,1970-01-01 10:57:00,6347.1
IC0000,2023-03-03,1970-01-01 10:58:00,6346.4
IC0000,2023-03-03,1970-01-01 10:59:00,6346.799999999999
IC0000,2023-03-03,1970-01-01 11:00:00,6347.0
IC0000,2023-03-03,1970-01-01 11:01:00,6342.8
IC0000,2023-03-03,1970-01-01 11:02:00,6344.5
IC0000,2023-03-03,1970-01-01 11:03:00,6345.4
IC0000,2023-03-03,1970-01-01 11:04:00,6345.7
IC0000,2023-03-03,1970-01-01 11:05:00,6345.3
IC0000,2023-03-03,1970-01-01 11:06:00,6345.799999999999
IC0000,2023-03-03,1970-01-01 11:07:00,6341.700000000001
IC0000,2023-03-03,1970-01-01 11:08:00,6341.1
IC0000,2023-03-03,1970-01-01 11:09:00,6344.5
IC0000,2023-03-03,1970-01-01 11:10:00,6348.2
IC0000,2023-03-03,1970-01-01 11:11:00,6351.5
IC0000,2023-03-03,1970-01-01 11:12:00,6357.8
IC0000,2023-03-03,1970-01-01 11:13:00,6359.200000000001
IC0000,2023-03-03,1970-01-01 11:14:00,6354.200000000001
IC0000,2023-03-03,1970-01-01 11:15:00,6358.5
IC0000,2023-03-03,1970-01-01 11:16:00,6362.8
IC0000,2023-03-03,1970-01-01 11:17:00,6359.1
IC0000,2023-03-03,1970-01-01 11:18:00,6357.0
IC0000,2023-03-03,1970-01-01 11:19:00,6360.3
IC0000,2023-03-03,1970-01-01 11:20:00,6360.9
IC0000,2023-03-03,1970-01-01 11:21:00,6356.9
IC0000,2023-03-03,1970-01-01 11:22:00,6357.700000000001
IC0000,2023-03-03,1970-01-01 11:23:00,6356.8
IC0000,2023-03-03,1970-01-01 11:24:00,6360.200000000001
IC0000,2023-03-03,1970-01-01 11:25:00,6363.799999999999
IC0000,2023-03-03,1970-01-01 11:26:00,6363.9
IC0000,2023-03-03,1970-01-01 11:27:00,6360.4
IC0000,2023-03-03,1970-01-01 11:28:00,6357.6
IC0000,2023-03-03,1970-01-01 11:29:00,6360.0
IC0000,2023-03-03,1970-01-01 11:30:00,6360.0
IC0000,2023-03-03,1970-01-01 13:00:00,6362.0
IC0000,2023-03-03,1970-01-01 13:01:00,6358.4
IC0000,2023-03-03,1970-01-01 13:02:00,6361.9
IC0000,2023-03-03,1970-01-01 13:03:00,6353.1
IC0000,2023-03-03,1970-01-01 13:04:00,6353.4
IC0000,2023-03-03,1970-01-01 13:05:00,6352.0
IC0000,2023-03-03,1970-01-01 13:06:00,6351.1
IC0000,2023-03-03,1970-01-01 13:07:00,6354.6
IC0000,2023-03-03,1970-01-01 13:08:00,6356.5
IC0000,2023-03-03,1970-01-01 13:09:00,6361.9
IC0000,2023-03-03,1970-01-01 13:10:00,6362.4
IC0000,2023-03-03,1970-01-01 13:11:00,6363.700000000001
IC0000,2023-03-03,1970-01-01 13:12:00,6363.1
IC0000,2023-03-03,1970-01-01 13:13:00,6362.6
IC0000,2023-03-03,1970-01-01 13:14:00,6366.299999999999
IC0000,2023-03-03,1970-01-01 13:15:00,6368.299999999999
IC0000,2023-03-03,1970-01-01 13:16:00,6365.1
IC0000,2023-03-03,1970-01-01 13:17:00,6361.5
IC0000,2023-03-03,1970-01-01 13:18:00,6359.0
IC0000,2023-03-03,1970-01-01 13:19:00,6359.5
IC0000,2023-03-03,1970-01-01 13:20:00,6359.5
IC0000,2023-03-03,1970-01-01 13:21:00,6361.0
IC0000,2023-03-03,1970-01-01 13:22:00,6362.1
IC0000,2023-03-03,1970-01-01 13:23:00,6362.700000000001
IC0000,2023-03-03,1970-01-01 13:24:00,6359.799999999999
IC0000,2023-03-03,1970-01-01 13:25:00,6361.4
IC0000,2023-03-03,1970-01-01 13:26:00,6360.6
IC0000,2023-03-03,1970-01-01 13:27:00,6362.9
IC0000,2023-03-03,1970-01-01 13:28:00,6359.2
IC0000,2023-03-03,1970-01-01 13:29:00,6358.3
IC0000,2023-03-03,1970-01-01 13:30:00,6360.3
IC0000,2023-03-03,1970-01-01 13:31:00,6362.0
IC0000,2023-03-03,1970-01-01 13:32:00,6356.2
IC0000,2023-03-03,1970-01-01 13:33:00,6351.1
IC0000,2023-03-03,1970-01-01 13:34:00,6352.4
IC0000,2023-03-03,1970-01-01 13:35:00,6356.5
IC0000,2023-03-03,1970-01-01 13:36:00,6363.1
IC0000,2023-03-03,1970-01-01 13:37:00,6366.9
IC0000,2023-03-03,1970-01-01 13:38:00,6368.4
IC0000,2023-03-03,1970-01-01 13:39:00,6369.3
IC0000,2023-03-03,1970-01-01 13:40:00,6365.3
IC0000,2023-03-03,1970-01-01 13:41:00,6365.799999999999
IC0000,2023-03-03,1970-01-01 13:42:00,6367.200000000001
IC0000,2023-03-03,1970-01-01 13:43:00,6366.200000000001
IC0000,2023-03-03,1970-01-01 13:44:00,6367.4
IC0000,2023-03-03,1970-01-01 13:45:00,6371.3
IC0000,2023-03-03,1970-01-01 13:46:00,6372.6
IC0000,2023-03-03,1970-01-01 13:47:00,6372.1
IC0000,2023-03-03,1970-01-01 13:48:00,6370.6
