product,thr_ticks,month,active_mins,pct_profitable,mean_ret_active,mean_daily_pnl
IC2302,10,2023-01,1354,0.4807976366322009,-9.086562101953954e-06,-0.0008202136724030436
IC2302,10,2023-02,1477,0.5172647257955315,1.8657620299253258e-05,0.002119792706307466
IC2302,15,ALL,1727,0.5043427909669947,1.1137409537884523e-05,0.0006869395097116633
IC2302,15,2023-01,769,0.46423927178153446,-1.781224371985164e-05,-0.0009131743613710608
IC2302,15,2023-02,958,0.5365344467640919,3.437570114038881e-05,0.0025332247455763447
IC2302,20,ALL,997,0.4944834503510532,4.854414305664418e-06,0.00017285182366955087
IC2302,20,2023-01,405,0.45185185185185184,-2.642191961819798e-05,-0.0007133918296913455
IC2302,20,2023-02,592,0.5236486486486487,2.62512305880365e-05,0.0011954406544705852
IC2303,1,ALL,8321,0.49188799423146257,1.4793052363545325e-06,0.0003239289176764754
IC2303,1,2023-01,3229,0.4927222050170331,3.279911378541134e-06,0.0007060555894206215
IC2303,1,2023-02,4444,0.4939243924392439,3.0518263946265862e-06,0.0006781158248860275
IC2303,1,2023-03,648,0.4737654320987654,-1.8277548560684888e-05,-0.003947950489107936
IC2303,2,ALL,7815,0.4948176583493282,4.0773805621969815e-06,0.0008385455024623529
IC2303,2,2023-01,2987,0.4944760629394041,5.419281855130219e-06,0.001079159660084931
IC2303,2,2023-02,4222,0.4966840360018948,5.4815125362037314e-06,0.0011571472963926078
IC2303,2,2023-03,606,0.4834983498349835,-1.2319491312799852e-05,-0.00248853724518557
IC2303,3,ALL,7398,0.49283590159502566,2.1893645349089545e-06,0.00042623470603306437
IC2303,3,2023-01,2801,0.4905390931810068,4.726832867081759e-06,0.0008826572573797339
IC2303,3,2023-02,4029,0.4959046909903202,2.37762165706075e-06,0.0004789718828148881
IC2303,3,2023-03,568,0.4823943661971831,-1.1659115647424867e-05,-0.002207459229245775
IC2303,5,ALL,6217,0.4938073025575036,5.0979341112412906e-06,0.0008340488518312395
IC2303,5,2023-01,2266,0.4885260370697264,6.205292295303272e-06,0.0009374128227438143
IC2303,5,2023-02,3478,0.4968372627947096,5.120561391710974e-06,0.0008904656260185384
IC2303,5,2023-03,473,0.49682875264270615,-3.734640421583053e-07,-5.888283064695946e-05
IC2303,8,ALL,5029,0.4917478623980911,4.534662537500632e-06,0.0006001267868708073
IC2303,8,2023-01,1738,0.4844649021864212,4.837197522462162e-06,0.0005604699529359492
IC2303,8,2023-02,2908,0.4958734525447043,4.863823191918832e-06,0.0007071998921049982
IC2303,8,2023-03,383,0.4934725848563969,6.625868536592104e-07,8.459025498382584e-05
IC2303,10,ALL,4140,0.4929951690821256,3.748417128233091e-06,0.00040838018186539467
IC2303,10,2023-01,1371,0.48723559445660103,6.253893242478393e-07,5.716058423625251e-05
IC2303,10,2023-02,2461,0.49451442503047544,4.811281584482198e-06,0.0005920281989705345
IC2303,10,2023-03,308,0.5064935064935064,9.157383662112079e-06,0.00094015805597684
IC2303,15,ALL,2579,0.4939899185730903,6.5632434832494525e-06,0.00044543697219211415
IC2303,15,2023-01,733,0.4597544338335607,-9.80318510547716e-06,-0.00047904897882098394
IC2303,15,2023-02,1651,0.5069654754694125,1.347906559774828e-05,0.0011126968650941205
IC2303,15,2023-03,195,0.5128205128205128,9.5302683268343e-06,0.0006194674412442295
IC2303,20,ALL,1541,0.4925373134328358,1.4059326270621815e-05,0.0005701426785007425
IC2303,20,2023-01,384,0.4348958333333333,-2.3580409421458438e-05,-0.0006036584811893361
IC2303,20,2023-02,1063,0.510818438381938,2.8164152135314234e-05,0.0014969246859919516
IC2303,20,2023-03,94,0.5212765957446809,8.317077457757703e-06,0.00026060176034307475
IC2304,1,ALL,2208,0.48867753623188404,-7.367868392895004e-07,-0.0001626825341151217
IC2304,1,2023-02,1549,0.4854744996772111,-3.643598209867109e-07,-8.062762324405932e-05
IC2304,1,2023-03,659,0.496206373292868,-1.6121881311726882e-06,-0.00035414399281426717
IC2304,2,ALL,2076,0.48747591522157996,-2.337636199730317e-06,-0.00048529327506401375
IC2304,2,2023-02,1453,0.48520302821748107,-2.4871814510157292e-06,-0.0005162678069036934
IC2304,2,2023-03,623,0.492776886035313,-1.988857307085527e-06,-0.0004130193674380944
IC2304,3,ALL,1971,0.49365804160324706,6.746089622699956e-07,0.00013296542646341615
IC2304,3,2023-02,1394,0.4899569583931133,-9.836024946220957e-07,-0.0001958774110718859
IC2304,3,2023-03,577,0.5025996533795494,4.680755878920906e-06,0.0009002653807124542
IC2304,5,ALL,1721,0.48576409064497383,-3.6393466966850964e-06,-0.000626331566499505
IC2304,5,2023-02,1232,0.4862012987012987,-2.4567973768764446e-06,-0.00043239633833025426
IC2304,5,2023-03,489,0.48466257668711654,-6.618693858247997e-06,-0.0010788470988944236
IC2304,8,ALL,1440,0.4840277777777778,-7.401806660081723e-06,-0.001065860159051768
IC2304,8,2023-02,1049,0.47950428979980936,-8.637878853054027e-06,-0.0012944478452648106
IC2304,8,2023-03,391,0.4961636828644501,-4.0855925157647195e-06,-0.0005324888912213351
IC2304,10,ALL,1202,0.48336106489184694,-9.3028090639543e-06,-0.0011181976494873068
IC2304,10,2023-02,897,0.4760312151616499,-1.1909795173134907e-05,-0.0015261551814717159
IC2304,10,2023-03,305,0.5049180327868853,-1.6357056543313377e-06,-0.000166296741523686
IC2304,15,ALL,774,0.4715762273901809,-2.0293733257301527e-05,-0.0015707349541151383
IC2304,15,2023-02,582,0.46735395189003437,-2.3795545521052913e-05,-0.0019784296418932567
IC2304,15,2023-03,192,0.484375,-9.67886483280514e-06,-0.0006194473492995289
IC2304,20,ALL,489,0.44171779141104295,-4.1900310503590425e-05,-0.002048925183625572
IC2304,20,2023-02,384,0.4375,-4.738303416997944e-05,-0.0025992978744674433
IC2304,20,2023-03,105,0.45714285714285713,-2.1849206809367754e-05,-0.0007647222383278714
