product,thr_ticks,month,bucket,active,hit_rate,mean_ret,total
IC0000,15,2023-01,14:30,57,0.40350877192982454,-8.727171344619576e-05,-0.004974487666433158
IC0000,15,2023-02,09:30,292,0.547945205479452,0.0001000188852028555,0.029205514479233807
IC0000,15,2023-02,10:00,229,0.4759825327510917,-1.7507157297491445e-05,-0.004009139021125541
IC0000,15,2023-02,10:30,214,0.5186915887850467,-1.664327047300016e-05,-0.0035616598812220346
IC0000,15,2023-02,11:00,181,0.49171270718232046,-8.62678730041845e-06,-0.0015614485013757395
IC0000,15,2023-02,13:00,178,0.5842696629213483,7.164481132562084e-05,0.01275277641596051
IC0000,15,2023-02,13:30,205,0.4585365853658537,-5.1968556745284634e-05,-0.01065355413278335
IC0000,15,2023-02,14:00,203,0.5024630541871922,6.738132027254867e-06,0.0013678408015327381
IC0000,15,2023-02,14:30,149,0.4563758389261745,-8.63350911636229e-06,-0.0012863928583379813
IC0000,15,2023-03,09:30,33,0.45454545454545453,-4.24169564825965e-05,-0.0013997595639256843
IC0000,15,2023-03,10:00,40,0.45,-2.420622214902024e-05,-0.0009682488859608096
IC0000,15,2023-03,10:30,27,0.7037037037037037,0.00016312533243735807,0.004404383975808668
IC0000,15,2023-03,11:00,28,0.6071428571428571,3.4154170362288294e-05,0.0009563167701440722
IC0000,15,2023-03,13:00,22,0.5,-3.134305420230107e-05,-0.0006895471924506236
IC0000,15,2023-03,13:30,16,0.5,3.7724693679873356e-05,0.0006035950988779737
IC0000,15,2023-03,14:00,18,0.3333333333333333,-7.914109934380958e-05,-0.0014245397881885724
IC0000,15,2023-03,14:30,11,0.5454545454545454,3.420017358433316e-05,0.00037620190942766474
IC0000,20,ALL,09:30,334,0.5149700598802395,9.109054558415995e-05,0.03042424222510942
IC0000,20,ALL,10:00,230,0.44782608695652176,-1.705321616865468e-05,-0.003922239718790577
IC0000,20,ALL,10:30,181,0.5138121546961326,-7.946376725404022e-07,-0.0001438294187298128
IC0000,20,ALL,11:00,176,0.5056818181818182,1.854690501590751e-05,0.0032642552827997218
IC0000,20,ALL,13:00,164,0.573170731707317,5.568038484483929e-05,0.009131583114553643
IC0000,20,ALL,13:30,165,0.46060606060606063,-4.641104555015059e-05,-0.007657822515774848
IC0000,20,ALL,14:00,164,0.45121951219512196,-4.0949728402945156e-05,-0.006715755458083006
IC0000,20,ALL,14:30,127,0.4566929133858268,-2.1378045102805724e-05,-0.002715011728056327
