code,year,n,k_ticks,k_pts,s_sum,s_ss,s_n,hits
IH0000,2019,30,2,0.4,20825.399999964502,1198096.4450000108,3020231,1401254
IH0000,2019,30,4,0.8,9941.149999981137,835411.8425000071,1678594,790809
IH0000,2019,30,6,1.2,5574.5499999890535,556445.4425000044,865035,411897
IH0000,2019,30,8,1.6,5299.099999993549,380964.07000000216,477830,227077
IH0000,2019,30,13,2.6,4232.699999998703,147071.57000000108,121085,56540
IH0000,2019,30,20,4.0,2251.8999999998805,39676.430000000226,20113,9041
IH0000,2019,30,30,6.0,891.2999999999697,8366.490000000074,2319,940
IH0000,2020,1,0,0.0,-18003.60000001753,2185854.4700000137,4898290,1742267
IH0000,2020,1,2,0.4,-82249.4000000216,649528.8000000041,680804,378383
IH0000,2020,1,4,0.8,-36188.475000002916,186426.49187500187,118832,73889
IH0000,2020,1,6,1.2,-13419.625000000571,59448.81437500037,24430,16598
IH0000,2020,1,8,1.6,-5578.250000000138,24479.391250000102,7168,5109
IH0000,2020,1,13,2.6,-1010.4749999999935,5540.955624999987,789,598
IH0000,2020,1,20,4.0,-203.8249999999939,1440.4431249999504,94,74
IH0000,2020,1,30,6.0,-68.47499999999991,762.0306249999853,20,16
IH0000,2020,2,0,0.0,46782.04999997773,2362983.4000000143,4897804,1886365
IH0000,2020,2,2,0.4,-32540.150000028087,870039.8750000035,976248,500193
IH0000,2020,2,4,0.8,-24668.55000000475,285596.51000000146,202092,112273
IH0000,2020,2,6,1.2,-11903.025000001056,97392.17687500075,45469,27265
IH0000,2020,2,8,1.6,-5240.475000000299,40406.50937500034,13297,8273
IH0000,2020,2,13,2.6,-1173.0750000000085,8461.18562500006,1350,933
IH0000,2020,2,20,4.0,-254.92499999999882,2270.108124999984,160,119
IH0000,2020,2,30,6.0,-104.67499999999882,895.2706249999808,31,25
IH0000,2020,3,0,0.0,58934.599999977894,2457686.367500017,4897318,1986109
IH0000,2020,3,2,0.4,-8180.300000033394,1081053.8225000054,1289938,641555
IH0000,2020,3,4,0.8,-16795.350000006798,409069.4500000023,320593,169082
IH0000,2020,3,6,1.2,-10680.775000001777,154373.64437500093,82134,45935
IH0000,2020,3,8,1.6,-5593.200000000515,67732.89125000044,25681,14862
IH0000,2020,3,13,2.6,-1070.7750000000174,13473.180625000032,2454,1534
IH0000,2020,3,20,4.0,-195.02499999999463,3153.8881250000036,248,158
IH0000,2020,3,30,6.0,-83.77499999999918,916.7806250000082,37,24
IH0000,2020,5,0,0.0,64624.99999997805,2529817.177500016,4896346,2068423
IH0000,2020,5,2,0.4,15442.449999961453,1366599.9650000078,1764145,858607
IH0000,2020,5,4,0.8,-9678.075000010525,640691.4843750023,575026,293193
IH0000,2020,5,6,1.2,-9682.375000003427,293022.8193750013,183865,97626
IH0000,2020,5,8,1.6,-5939.875000001311,145725.94437500052,68249,37093
IH0000,2020,5,13,2.6,-1503.1000000001332,31434.44625000014,7770,4360
IH0000,2020,5,20,4.0,-193.62500000000136,6060.523125000051,657,377
IH0000,2020,5,30,6.0,-48.27499999999736,1627.6656250000156,79,41
IH0000,2020,10,0,0.0,80918.19999998083,2591831.482500018,4893916,2131378
IH0000,2020,10,2,0.4,49304.749999960455,1725864.95000001,2442973,1158702
IH0000,2020,10,4,0.8,16590.19999998431,1032811.512500005,1096838,533121
IH0000,2020,10,6,1.2,1990.9749999926871,589030.6868750027,459597,228277
IH0000,2020,10,8,1.6,-1343.4750000034323,350416.71437500167,210919,105879
IH0000,2020,10,13,2.6,-590.9500000004914,106617.25375000018,37277,18739
IH0000,2020,10,20,4.0,-39.62500000003274,23092.38312500004,4411,2196
IH0000,2020,10,30,6.0,134.42499999999836,5146.5406250000315,371,162
IH0000,2020,20,0,0.0,74283.79999998432,2619758.792500021,4889056,2170487
IH0000,2020,20,2,0.4,58373.69999996506,2003269.0625000116,3067297,1437523
IH0000,2020,20,4,0.8,34520.39999998161,1419073.2525000074,1766920,838747
IH0000,2020,20,6,1.2,17123.949999989207,961500.8750000055,947142,454940
IH0000,2020,20,8,1.6,8870.649999993278,667620.6500000033,532775,256912
IH0000,2020,20,13,2.6,3851.374999998428,274640.25187500025,138684,66204
IH0000,2020,20,20,4.0,1687.2749999998687,83057.50812500005,25945,12113
IH0000,2020,20,30,6.0,1048.674999999983,18078.72812499995,3296,1369
IH0000,2020,30,0,0.0,61861.599999987164,2627089.1925000176,4884196,2184062
IH0000,2020,30,2,0.4,52225.64999996942,2119448.2400000133,3374069,1572736
IH0000,2020,30,4,0.8,34843.74999998136,1611496.6750000094,2176603,1023728
IH0000,2020,30,6,1.2,19750.599999987666,1179831.6325000043,1311259,623395
IH0000,2020,30,8,1.6,11233.949999990968,876194.6950000034,817703,390196
IH0000,2020,30,13,2.6,4079.2499999972492,420183.4250000014,261710,124811
IH0000,2020,30,20,4.0,1940.924999999706,155687.79437500017,62069,29251
IH0000,2020,30,30,6.0,1316.2749999999896,43431.918124999844,10766,4881
IH0000,2021,1,0,0.0,-61921.250000020336,2759983.70250002,5360440,1974553
IH0000,2021,1,2,0.4,-105550.8500000261,890864.7925000084,917381,503897
IH0000,2021,1,4,0.8,-41954.40000000396,225581.4250000026,153771,93448
IH0000,2021,1,6,1.2,-13859.20000000067,57861.74500000067,26186,17639
IH0000,2021,1,8,1.6,-5659.050000000136,21735.292500000214,6843,4981
IH0000,2021,1,13,2.6,-1089.6000000000008,5096.480000000013,737,593
IH0000,2021,1,20,4.0,-148.1999999999989,1085.8799999999937,63,55
IH0000,2021,1,30,6.0,-18.700000000000273,179.1700000000088,3,3
IH0000,2021,2,0,0.0,25653.749999976342,2933753.0475000185,5359954,2096307
IH0000,2021,2,2,0.4,-36614.20000003296,1121229.5950000056,1215662,616569
IH0000,2021,2,4,0.8,-23199.050000006293,354370.36750000186,266918,143403
IH0000,2021,2,6,1.2,-11880.550000001333,109548.65750000077,58081,33738
IH0000,2021,2,8,1.6,-5719.000000000315,40123.02500000026,15170,9453
IH0000,2021,2,13,2.6,-1202.7000000000016,7499.070000000007,1230,881
IH0000,2021,2,20,4.0,-216.3999999999969,1741.4799999999834,113,93
IH0000,2021,2,30,6.0,-30.799999999999727,511.11999999999915,10,8
IH0000,2021,3,0,0.0,38473.149999975314,3049081.227500022,5359468,2204949
IH0000,2021,3,2,0.4,-13651.450000038005,1376106.2975000094,1572880,778385
IH0000,2021,3,4,0.8,-17675.800000008803,519460.32000000245,424010,219607
IH0000,2021,3,6,1.2,-11297.450000002467,188513.27750000096,111182,60787
IH0000,2021,3,8,1.6,-6060.750000000664,77033.80250000076,33379,19064
IH0000,2021,3,13,2.6,-1328.1000000000372,12011.430000000048,2409,1553
IH0000,2021,3,20,4.0,-182.10000000000264,2156.850000000029,182,130
IH0000,2021,3,30,6.0,-1.6999999999984539,603.6899999999932,17,11
