code,year,t1,t2,r,x,n_peak,g_sum,g_ss,rhits
IH0000,2024,20,120,3.0,20,12524,-800.3000000000561,5862.749999999996,6214
IH0000,2025,10,60,1.5,20,787037,4750.7999999977255,342726.9400000021,337169
IH0000,2025,10,60,2.0,20,255257,-604.6000000005752,106334.14000000087,112154
IH0000,2025,10,60,3.0,20,24258,-751.899999999941,9213.210000000041,11169
IH0000,2025,10,60,5.0,20,35,-8.600000000004457,15.99999999999973,20
IH0000,2025,20,120,1.5,20,616816,-6892.000000001435,262651.82000000204,274775
IH0000,2025,20,120,2.0,20,149988,-3758.7000000002568,65019.53000000038,68443
IH0000,2025,20,120,3.0,20,7873,-243.10000000001446,3448.8500000000386,3675
IH0000,2025,20,120,5.0,20,18,-7.0999999999989996,5.969999999999781,13
IH0000,2026,10,60,1.5,20,316161,3861.5999999988526,150504.9200000012,137310
IH0000,2026,10,60,2.0,20,92372,424.19999999988204,43052.18000000046,40875
IH0000,2026,10,60,3.0,20,6850,-175.50000000001728,3147.1900000000433,3126
IH0000,2026,10,60,5.0,20,2,-0.5999999999994543,0.1999999999996362,2
IH0000,2026,20,120,1.5,20,238349,-991.1000000007284,112888.77000000096,107778
IH0000,2026,20,120,2.0,20,49204,-1204.5000000001833,23666.610000000175,22975
IH0000,2026,20,120,3.0,20,1645,-12.70000000000664,956.4900000000288,750
IM0000,2022,10,60,1.5,20,426678,13052.874999997292,2357179.0656250147,205217
IM0000,2022,10,60,2.0,20,156788,4122.2499999989095,839118.1375000052,75570
IM0000,2022,10,60,3.0,20,19265,161.749999999819,101190.71250000129,9393
IM0000,2022,10,60,5.0,20,119,14.599999999997635,322.599999999992,47
IM0000,2022,20,120,1.5,20,349750,8577.799999997962,1892214.945000013,167917
IM0000,2022,20,120,2.0,20,98456,3233.749999999086,525201.5075000041,47067
IM0000,2022,20,120,3.0,20,6785,930.0499999998628,41186.05250000036,3128
IM0000,2023,10,60,1.5,20,805092,31607.549999994277,2087111.292500016,374511
IM0000,2023,10,60,2.0,20,312256,11517.449999997558,804713.927500006,146204
IM0000,2023,10,60,3.0,20,43619,80.89999999962492,104527.82500000068,20944
IM0000,2023,10,60,5.0,20,290,-63.09999999999036,651.9899999999502,158
IM0000,2023,20,120,1.5,20,658170,18367.499999995274,1691829.9450000145,309866
IM0000,2023,20,120,2.0,20,196014,6387.249999998809,502204.92250000365,92367
IM0000,2023,20,120,3.0,20,16280,-55.700000000115324,40949.99000000036,7826
IM0000,2023,20,120,5.0,20,6,-4.300000000000182,4.750000000000181,5
IM0000,2024,10,60,1.5,20,916999,90582.8249999935,6131688.099375035,441301
IM0000,2024,10,60,2.0,20,287001,27977.949999998258,1694159.4737500092,139660
IM0000,2024,10,60,3.0,20,23593,782.1999999999766,118629.16500000062,11781
IM0000,2024,10,60,5.0,20,35,-25.300000000000182,70.20999999999934,21
IM0000,2024,20,120,1.5,20,787081,45812.64999999653,5063455.14125002,385888
IM0000,2024,20,120,2.0,20,212003,12335.674999999686,1298797.2281250053,105344
IM0000,2024,20,120,3.0,20,10906,-453.10000000004356,58113.51000000045,5586
IM0000,2025,10,60,1.5,20,889832,-17716.55000000511,4099334.397500029,434290
IM0000,2025,10,60,2.0,20,277336,-14452.550000001567,1219804.9225000085,138379
IM0000,2025,10,60,3.0,20,25704,-1448.400000000217,102215.42500000137,12980
IM0000,2025,20,120,1.5,20,778933,-25089.600000003637,3476466.740000023,384287
IM0000,2025,20,120,2.0,20,212329,-13939.600000000766,937068.3250000065,106379
IM0000,2025,20,120,3.0,20,12839,-1255.1999999999389,56750.900000000336,6510
IM0000,2026,10,60,1.5,20,349453,6587.10000000158,2828204.175000002,169785
IM0000,2026,10,60,2.0,20,96383,-878.5499999994954,746839.8725000024,47407
IM0000,2026,10,60,3.0,20,6817,629.5500000000848,53457.75250000027,3252
IM0000,2026,10,60,5.0,20,5,23.00000000000273,112.12000000002652,0
IM0000,2026,20,120,1.5,20,299902,676.5500000002075,2463303.812500005,146868
IM0000,2026,20,120,2.0,20,71302,-815.9500000000226,583466.6575000002,35108
IM0000,2026,20,120,3.0,20,3652,-336.1000000000595,29246.235000000077,1898
