code,rank,q,oir,n_total,cum1,cum5,cum10,cum20
IC0000,2136212,0.05851463880835479,-0.6666667,36507309,-503928.0,-670734.0,-686411.0,-556158.0
IC0000,2145341,0.058764698323834276,-0.6666667,36507309,-505143.0,-673311.0,-689126.0,-557996.0
IC0000,2154470,0.059014757839313765,-0.6666667,36507309,-505786.0,-675570.0,-691087.0,-560056.0
IC0000,2163599,0.059264817354793255,-0.6666667,36507309,-507509.0,-679298.0,-694625.0,-562502.0
IC0000,2172729,0.05951490426204791,-0.6666667,36507309,-509030.0,-682215.0,-697051.0,-563761.0
IC0000,2181858,0.0597649637775274,-0.6666667,36507309,-511278.0,-685566.0,-702636.0,-568285.0
IC0000,2190987,0.06001502329300689,-0.6666667,36507309,-512975.0,-689792.0,-707887.0,-574554.0
IC0000,2200116,0.06026508280848638,-0.6666667,36507309,-514489.0,-692299.0,-710083.0,-577757.0
IC0000,2209245,0.06051514232396587,-0.6666667,36507309,-515848.0,-694638.0,-712482.0,-580305.0
IC0000,2218374,0.06076520183944536,-0.6666667,36507309,-517330.0,-696657.0,-714259.0,-581249.0
IC0000,2227503,0.06101526135492485,-0.6666667,36507309,-519546.0,-700660.0,-718077.0,-583739.0
IC0000,2236632,0.06126532087040434,-0.6666667,36507309,-521819.0,-703400.0,-720775.0,-585337.0
IC0000,2245761,0.061515380385883826,-0.6666667,36507309,-524501.0,-707277.0,-725220.0,-588758.0
IC0000,2254890,0.061765439901363316,-0.6666667,36507309,-526164.0,-708600.0,-726747.0,-590909.0
IC0000,2264020,0.062015526808617966,-0.65217394,36507309,-527799.0,-711916.0,-730894.0,-594757.0
IC0000,2273149,0.062265586324097455,-0.64705884,36507309,-528887.0,-712020.0,-730834.0,-594516.0
IC0000,2282278,0.06251564583957694,-0.6363636,36507309,-530939.0,-713964.0,-733483.0,-596140.0
IC0000,2291407,0.06276570535505643,-0.6363636,36507309,-534273.0,-717253.0,-737328.0,-599850.0
IC0000,2300536,0.06301576487053592,-0.6363636,36507309,-536306.0,-720699.0,-739649.0,-601433.0
IC0000,2309665,0.06326582438601541,-0.6363636,36507309,-538238.0,-722647.0,-741131.0,-602237.0
IC0000,2318794,0.0635158839014949,-0.6363636,36507309,-540102.0,-723914.0,-742146.0,-602140.0
IC0000,2327923,0.06376594341697439,-0.6363636,36507309,-541931.0,-726539.0,-744461.0,-603659.0
IC0000,2337052,0.06401600293245388,-0.625,36507309,-544068.0,-727040.0,-744083.0,-602657.0
IC0000,2346182,0.06426608983970854,-0.61904764,36507309,-545367.0,-727256.0,-743627.0,-600479.0
IC0000,2355311,0.06451614935518803,-0.6,36507309,-546557.0,-728128.0,-744458.0,-601674.0
IC0000,2364440,0.06476620887066752,-0.6,36507309,-548228.0,-730685.0,-747321.0,-603798.0
IC0000,2373569,0.065016268386147,-0.6,36507309,-549987.0,-732357.0,-747473.0,-603519.0
IC0000,2382698,0.0652663279016265,-0.6,36507309,-552420.0,-735705.0,-751016.0,-607576.0
IC0000,2391827,0.06551638741710598,-0.6,36507309,-555413.0,-739162.0,-754682.0,-612015.0
IC0000,2400956,0.06576644693258547,-0.6,36507309,-557170.0,-740814.0,-756423.0,-613629.0
IC0000,2410085,0.06601650644806496,-0.6,36507309,-558820.0,-743613.0,-759635.0,-616929.0
