code,J,k,bucket,mean_dy,n,nrows
IH0000,1,60,pos1,1.0841055,362735,31889729
IH0000,1,60,pos0.1,1.4867667,37330,31889729
IH0000,1,120,neg0.1,-1.2897222,32186,31703375
IH0000,1,120,neg1,-0.94549894,371901,31703375
IH0000,1,120,neg5,-0.7617153,1874384,31703375
IH0000,1,120,pos5,0.7734708,1843970,31703375
IH0000,1,120,pos1,0.9889516,360415,31703375
IH0000,1,120,pos0.1,1.3423314,36897,31703375
IH0000,1,240,neg0.1,-1.2902596,31775,31325206
IH0000,1,240,neg1,-0.89933467,367922,31325206
IH0000,1,240,neg5,-0.741431,1854414,31325206
IH0000,1,240,pos5,0.73066753,1824273,31325206
IH0000,1,240,pos1,0.9070538,356615,31325206
IH0000,1,240,pos0.1,1.1897186,36454,31325206
IH0000,1,600,neg0.1,-1.0170139,30387,30128776
IH0000,1,600,neg1,-0.8929846,354706,30128776
IH0000,1,600,neg5,-0.8165488,1790351,30128776
IH0000,1,600,pos5,0.6285888,1759656,30128776
IH0000,1,600,pos1,0.78549665,342983,30128776
IH0000,1,600,pos0.1,0.9197799,34530,30128776
IH0000,5,1,neg0.1,-0.44417134,32546,32057134
IH0000,5,1,neg1,-0.33708128,354060,32057134
IH0000,5,1,neg5,-0.26217794,1604910,32057134
IH0000,5,1,pos5,0.26175028,1943165,32057134
IH0000,5,1,pos1,0.35183024,346923,32057134
IH0000,5,1,pos0.1,0.45589018,33870,32057134
IH0000,5,20,neg0.1,-1.1224471,32512,31999877
IH0000,5,20,neg1,-0.94162744,353745,31999877
IH0000,5,20,neg5,-0.75350904,1603345,31999877
IH0000,5,20,pos5,0.77106154,1941500,31999877
IH0000,5,20,pos1,0.98823476,346699,31999877
IH0000,5,20,pos0.1,1.3041269,33851,31999877
IH0000,5,60,neg0.1,-1.0781616,32420,31877749
IH0000,5,60,neg1,-0.84645295,352830,31877749
IH0000,5,60,neg5,-0.6893659,1599406,31877749
IH0000,5,60,pos5,0.7091077,1935775,31877749
IH0000,5,60,pos1,0.90370107,345736,31877749
IH0000,5,60,pos0.1,1.163316,33775,31877749
IH0000,5,120,neg0.1,-0.83294964,32146,31691410
IH0000,5,120,neg1,-0.7089714,350938,31691410
IH0000,5,120,neg5,-0.6122393,1591742,31691410
IH0000,5,120,pos5,0.61894494,1924685,31691410
IH0000,5,120,pos1,0.76667404,343348,31691410
IH0000,5,120,pos0.1,1.1832192,33288,31691410
IH0000,5,240,neg0.1,-0.7106241,31758,31313293
IH0000,5,240,neg1,-0.6324674,347376,31313293
IH0000,5,240,neg5,-0.548305,1575749,31313293
IH0000,5,240,pos5,0.53731674,1905351,31313293
IH0000,5,240,pos1,0.6111552,340182,31313293
IH0000,5,240,pos0.1,0.89418936,32974,31313293
IH0000,5,600,neg0.1,-0.4638377,30612,30117014
IH0000,5,600,neg1,-0.59812194,335776,30117014
IH0000,5,600,neg5,-0.5689211,1523394,30117014
IH0000,5,600,pos5,0.41690278,1838539,30117014
IH0000,5,600,pos1,0.5518249,326754,30117014
IH0000,5,600,pos0.1,0.60350484,31100,30117014
IH0000,20,1,neg0.1,-0.20121263,33646,32012044
IH0000,20,1,neg1,-0.17679851,346926,32012044
IH0000,20,1,neg5,-0.13932195,1613127,32012044
IH0000,20,1,pos5,0.14384331,1721102,32012044
IH0000,20,1,pos1,0.18309468,341845,32012044
IH0000,20,1,pos0.1,0.2125724,32977,32012044
IH0000,20,20,neg0.1,-0.56515485,31970,31954787
IH0000,20,20,neg1,-0.5234741,346680,31954787
IH0000,20,20,neg5,-0.41739872,1611706,31954787
IH0000,20,20,pos5,0.46373072,1719554,31954787
IH0000,20,20,pos1,0.61838716,341684,31954787
IH0000,20,20,pos0.1,0.6367112,32960,31954787
IH0000,20,60,neg0.1,-0.44424918,31865,31832736
IH0000,20,60,neg1,-0.37737656,345827,31832736
IH0000,20,60,neg5,-0.30190387,1608184,31832736
IH0000,20,60,pos5,0.3508969,1713871,31832736
IH0000,20,60,pos1,0.4713678,340840,31832736
IH0000,20,60,pos0.1,0.6149612,32885,31832736
IH0000,20,120,neg0.1,-0.19066313,33116,31646491
IH0000,20,120,neg1,-0.14493264,343808,31646491
IH0000,20,120,neg5,-0.1652872,1600366,31646491
IH0000,20,120,pos5,0.23683202,1702236,31646491
IH0000,20,120,pos1,0.3090599,337708,31646491
IH0000,20,120,pos0.1,0.73272806,32162,31646491
IH0000,20,240,neg0.1,-0.21427698,32710,31268564
IH0000,20,240,neg1,-0.01011729,340012,31268564
IH0000,20,240,neg5,-0.08034163,1583102,31268564
IH0000,20,240,pos5,0.09948057,1684349,31268564
IH0000,20,240,pos1,0.08084191,334146,31268564
IH0000,20,240,pos0.1,0.25767237,31835,31268564
IH0000,20,600,neg0.1,-0.36849934,31593,30072791
IH0000,20,600,neg1,0.08883037,301496,30072791
IH0000,20,600,neg5,-0.07881113,1529416,30072791
IH0000,20,600,pos5,0.06314431,1620431,30072791
IH0000,20,600,pos1,0.013831776,318325,30072791
IH0000,20,600,pos0.1,-0.4674171,31182,30072791
IH0000,60,1,neg0.1,-0.12027895,32408,31891804
IH0000,60,1,neg1,-0.08841993,324169,31891804
IH0000,60,1,neg5,-0.07024553,1612544,31891804
IH0000,60,1,pos5,0.07298937,1599096,31891804
IH0000,60,1,pos1,0.090069935,320884,31891804
IH0000,60,1,pos0.1,0.1147546,32417,31891804
IH0000,60,20,neg0.1,-0.30994532,32367,31834548
IH0000,60,20,neg1,-0.19938749,323912,31834548
IH0000,60,20,neg5,-0.17682597,1611200,31834548
IH0000,60,20,pos5,0.20147662,1596756,31834548
IH0000,60,20,pos1,0.23456655,320570,31834548
IH0000,60,20,pos0.1,0.26239473,32413,31834548
IH0000,60,60,neg0.1,-0.115353495,32136,31712541
IH0000,60,60,neg1,-0.019742345,322758,31712541
IH0000,60,60,neg5,0.01745922,1606601,31712541
IH0000,60,60,pos5,0.071237646,1589637,31712541
IH0000,60,60,pos1,0.15091571,318880,31712541
IH0000,60,60,pos0.1,0.20586587,32118,31712541
IH0000,60,120,neg0.1,-0.15025826,31752,31526533
IH0000,60,120,neg1,0.23142523,320825,31526533
IH0000,60,120,neg5,0.18858376,1598706,31526533
IH0000,60,120,pos5,-0.043453183,1577721,31526533
IH0000,60,120,pos1,-0.07419929,315596,31526533
IH0000,60,120,pos0.1,-0.2273048,32595,31526533
IH0000,60,240,neg0.1,0.044532094,31438,31148936
IH0000,60,240,neg1,0.3661579,316257,31148936
