code,rank,q,voi,n_total,cum1,cum20,cum120
IC0000,1413480,0.039259817398575196,-4.0,36003224,-1.254618e+06,-2.795724e+06,-2.352843e+06
IC0000,1422483,0.03950987833756221,-4.0,36003224,-1.259607e+06,-2.806993e+06,-2.360175e+06
IC0000,1431486,0.039759939276549236,-4.0,36003224,-1.265639e+06,-2.81848e+06,-2.37195e+06
IC0000,1440490,0.0400100279908266,-4.0,36003224,-1.272196e+06,-2.83687e+06,-2.384538e+06
IC0000,1449493,0.04026008892981362,-4.0,36003224,-1.278924e+06,-2.854872e+06,-2.402622e+06
IC0000,1458496,0.04051014986880064,-4.0,36003224,-1.287361e+06,-2.868729e+06,-2.418699e+06
IC0000,1467499,0.04076021080778766,-4.0,36003224,-1.292268e+06,-2.879648e+06,-2.421108e+06
IC0000,1476502,0.04101027174677468,-4.0,36003224,-1.297159e+06,-2.889211e+06,-2.427591e+06
IC0000,1485505,0.041260332685761694,-4.0,36003224,-1.301906e+06,-2.903522e+06,-2.438684e+06
IC0000,1494508,0.04151039362474872,-4.0,36003224,-1.307241e+06,-2.919761e+06,-2.446119e+06
IC0000,1503511,0.041760454563735734,-4.0,36003224,-1.312367e+06,-2.932461e+06,-2.449608e+06
IC0000,1512514,0.04201051550272276,-4.0,36003224,-1.318918e+06,-2.946798e+06,-2.463084e+06
IC0000,1521517,0.042260576441709774,-4.0,36003224,-1.32277e+06,-2.955759e+06,-2.465819e+06
IC0000,1530520,0.0425106373806968,-4.0,36003224,-1.32823e+06,-2.970193e+06,-2.482166e+06
IC0000,1539523,0.042760698319683814,-4.0,36003224,-1.334013e+06,-2.984159e+06,-2.496231e+06
IC0000,1548526,0.04301075925867084,-4.0,36003224,-1.340435e+06,-3.00528e+06,-2.519615e+06
IC0000,1557529,0.043260820197657854,-4.0,36003224,-1.345571e+06,-3.021876e+06,-2.542399e+06
IC0000,1566532,0.04351088113664488,-4.0,36003224,-1.35108e+06,-3.031893e+06,-2.543622e+06
IC0000,1575535,0.043760942075631894,-4.0,36003224,-1.35634e+06,-3.047998e+06,-2.557332e+06
IC0000,1584538,0.04401100301461891,-4.0,36003224,-1.361691e+06,-3.060428e+06,-2.565206e+06
IC0000,1593542,0.04426109172889628,-4.0,36003224,-1.367924e+06,-3.073934e+06,-2.579844e+06
IC0000,1602545,0.044511152667883296,-4.0,36003224,-1.373909e+06,-3.090685e+06,-2.598781e+06
IC0000,1611548,0.04476121360687032,-4.0,36003224,-1.380794e+06,-3.106558e+06,-2.615317e+06
IC0000,1620551,0.045011274545857335,-4.0,36003224,-1.385894e+06,-3.116018e+06,-2.626619e+06
IC0000,1629554,0.04526133548484436,-4.0,36003224,-1.390242e+06,-3.12824e+06,-2.640114e+06
IC0000,1638557,0.045511396423831375,-4.0,36003224,-1.395464e+06,-3.138771e+06,-2.650031e+06
IC0000,1647560,0.0457614573628184,-4.0,36003224,-1.398922e+06,-3.149197e+06,-2.65847e+06
IC0000,1656563,0.046011518301805415,-4.0,36003224,-1.402865e+06,-3.160633e+06,-2.671176e+06
IC0000,1665566,0.04626157924079244,-4.0,36003224,-1.406408e+06,-3.17053e+06,-2.684459e+06
IC0000,1674569,0.046511640179779455,-4.0,36003224,-1.41085e+06,-3.183491e+06,-2.700627e+06
IC0000,1683572,0.04676170111876647,-4.0,36003224,-1.414309e+06,-3.193857e+06,-2.714431e+06
IC0000,1692575,0.047011762057753495,-4.0,36003224,-1.418169e+06,-3.204339e+06,-2.721389e+06
IC0000,1701578,0.04726182299674051,-4.0,36003224,-1.422218e+06,-3.214766e+06,-2.731029e+06
IC0000,1710581,0.047511883935727535,-4.0,36003224,-1.426977e+06,-3.226521e+06,-2.743583e+06
IC0000,1719584,0.04776194487471455,-4.0,36003224,-1.433475e+06,-3.251272e+06,-2.775759e+06
IC0000,1728587,0.048012005813701575,-4.0,36003224,-1.43966e+06,-3.263824e+06,-2.785679e+06
IC0000,1737590,0.04826206675268859,-4.0,36003224,-1.444645e+06,-3.276084e+06,-2.798058e+06
IC0000,1746593,0.048512127691675615,-4.0,36003224,-1.448685e+06,-3.286051e+06,-2.809774e+06
IC0000,1755597,0.04876221640595298,-4.0,36003224,-1.452457e+06,-3.295656e+06,-2.820235e+06
IC0000,1764600,0.04901227734494,-4.0,36003224,-1.456824e+06,-3.307185e+06,-2.832884e+06
IC0000,1773603,0.04926233828392702,-4.0,36003224,-1.460289e+06,-3.317176e+06,-2.84616e+06
IC0000,1782606,0.04951239922291404,-4.0,36003224,-1.464466e+06,-3.328306e+06,-2.858382e+06
IC0000,1791609,0.049762460161901056,-4.0,36003224,-1.468567e+06,-3.338507e+06,-2.865515e+06
IC0000,1800612,0.05001252110088807,-4.0,36003224,-1.47565e+06,-3.36131e+06,-2.875247e+06
IC0000,1809615,0.050262582039875096,-4.0,36003224,-1.482064e+06,-3.377999e+06,-2.8847e+06
IC0000,1818618,0.05051264297886211,-4.0,36003224,-1.488067e+06,-3.393753e+06,-2.905674e+06
IC0000,1827621,0.050762703917849136,-4.0,36003224,-1.493344e+06,-3.406608e+06,-2.919609e+06
IC0000,1836624,0.05101276485683615,-4.0,36003224,-1.499192e+06,-3.422016e+06,-2.937314e+06
IC0000,1845627,0.051262825795823176,-4.0,36003224,-1.504128e+06,-3.434244e+06,-2.941136e+06
IC0000,1854630,0.05151288673481019,-4.0,36003224,-1.509343e+06,-3.443381e+06,-2.948593e+06
IC0000,1863633,0.051762947673797216,-4.0,36003224,-1.51386e+06,-3.45376e+06,-2.958349e+06
IC0000,1872636,0.05201300861278423,-4.0,36003224,-1.519174e+06,-3.467969e+06,-2.972523e+06
IC0000,1881639,0.05226306955177125,-4.0,36003224,-1.522811e+06,-3.475622e+06,-2.979884e+06
IC0000,1890642,0.05251313049075827,-4.0,36003224,-1.526382e+06,-3.483368e+06,-2.985574e+06
IC0000,1899645,0.05276319142974529,-4.0,36003224,-1.529838e+06,-3.491385e+06,-2.988724e+06
IC0000,1908648,0.05301325236873231,-4.0,36003224,-1.534179e+06,-3.502636e+06,-2.995706e+06
IC0000,1917652,0.053263341083009674,-4.0,36003224,-1.5387e+06,-3.514294e+06,-3.000178e+06
IC0000,1926655,0.0535134020219967,-4.0,36003224,-1.545123e+06,-3.531645e+06,-3.006454e+06
IC0000,1935658,0.053763462960983714,-4.0,36003224,-1.551504e+06,-3.54897e+06,-3.01727e+06
IC0000,1944661,0.05401352389997074,-4.0,36003224,-1.557559e+06,-3.564185e+06,-3.031365e+06
IC0000,1953664,0.054263584838957754,-4.0,36003224,-1.562793e+06,-3.575758e+06,-3.035728e+06
IC0000,1962667,0.05451364577794478,-4.0,36003224,-1.567889e+06,-3.587418e+06,-3.053307e+06
IC0000,1971670,0.054763706716931794,-4.0,36003224,-1.572741e+06,-3.597363e+06,-3.060713e+06
IC0000,1980673,0.05501376765591882,-4.0,36003224,-1.577743e+06,-3.607838e+06,-3.059309e+06
IC0000,1989676,0.055263828594905834,-4.0,36003224,-1.585186e+06,-3.623307e+06,-3.067563e+06
IC0000,1998679,0.05551388953389285,-4.0,36003224,-1.592385e+06,-3.638403e+06,-3.079382e+06
IC0000,2007682,0.055763950472879874,-4.0,36003224,-1.601476e+06,-3.663231e+06,-3.106906e+06
IC0000,2016685,0.05601401141186689,-4.0,36003224,-1.608683e+06,-3.676296e+06,-3.121289e+06
IC0000,2025688,0.056264072350853914,-4.0,36003224,-1.614711e+06,-3.686404e+06,-3.123677e+06
IC0000,2034691,0.05651413328984093,-3.0,36003224,-1.62107e+06,-3.70291e+06,-3.141339e+06
IC0000,2043694,0.056764194228827954,-3.0,36003224,-1.624483e+06,-3.716821e+06,-3.157084e+06
IC0000,2052697,0.05701425516781497,-3.0,36003224,-1.628882e+06,-3.728988e+06,-3.159016e+06
IC0000,2061700,0.05726431610680199,-3.0,36003224,-1.631733e+06,-3.74579e+06,-3.170426e+06
IC0000,2070703,0.05751437704578901,-3.0,36003224,-1.636671e+06,-3.766243e+06,-3.199897e+06
IC0000,2079707,0.05776446576006638,-3.0,36003224,-1.642102e+06,-3.788955e+06,-3.236543e+06
IC0000,2088710,0.058014526699053395,-3.0,36003224,-1.647361e+06,-3.798921e+06,-3.253092e+06
IC0000,2097713,0.05826458763804042,-3.0,36003224,-1.650263e+06,-3.803806e+06,-3.257555e+06
IC0000,2106716,0.058514648577027435,-3.0,36003224,-1.653169e+06,-3.812478e+06,-3.265301e+06
IC0000,2115719,0.05876470951601445,-3.0,36003224,-1.65623e+06,-3.820255e+06,-3.267822e+06
IC0000,2124722,0.059014770455001475,-3.0,36003224,-1.658193e+06,-3.827117e+06,-3.276516e+06
IC0000,2133725,0.05926483139398849,-3.0,36003224,-1.660201e+06,-3.83396e+06,-3.275883e+06
IC0000,2142728,0.059514892332975515,-3.0,36003224,-1.662274e+06,-3.84129e+06,-3.281338e+06
IC0000,2151731,0.05976495327196253,-3.0,36003224,-1.665235e+06,-3.848524e+06,-3.282547e+06
IC0000,2160734,0.060015014210949555,-3.0,36003224,-1.668466e+06,-3.863949e+06,-3.280136e+06
IC0000,2169737,0.06026507514993657,-3.0,36003224,-1.67389e+06,-3.887773e+06,-3.306069e+06
IC0000,2178740,0.060515136088923595,-3.0,36003224,-1.681944e+06,-3.910117e+06,-3.319489e+06
IC0000,2187743,0.06076519702791061,-3.0,36003224,-1.689078e+06,-3.931135e+06,-3.336405e+06
IC0000,2196746,0.06101525796689763,-3.0,36003224,-1.695471e+06,-3.945327e+06,-3.339641e+06
IC0000,2205749,0.06126531890588465,-3.0,36003224,-1.700667e+06,-3.955998e+06,-3.350757e+06
IC0000,2214752,0.06151537984487167,-3.0,36003224,-1.70578e+06,-3.969412e+06,-3.366266e+06
IC0000,2223755,0.06176544078385869,-3.0,36003224,-1.710646e+06,-3.979753e+06,-3.381674e+06
IC0000,2232759,0.06201552949813605,-3.0,36003224,-1.715493e+06,-3.991402e+06,-3.391846e+06
IC0000,2241762,0.062265590437123076,-3.0,36003224,-1.72008e+06,-4.001484e+06,-3.40014e+06
IC0000,2250765,0.06251565137611009,-3.0,36003224,-1.72427e+06,-4.013284e+06,-3.414551e+06
IC0000,2259768,0.06276571231509712,-3.0,36003224,-1.727683e+06,-4.021249e+06,-3.419918e+06
IC0000,2268771,0.06301577325408414,-3.0,36003224,-1.731353e+06,-4.031224e+06,-3.429404e+06
IC0000,2277774,0.06326583419307115,-3.0,36003224,-1.735479e+06,-4.041394e+06,-3.440327e+06
IC0000,2286777,0.06351589513205817,-3.0,36003224,-1.740023e+06,-4.052334e+06,-3.449224e+06
IC0000,2295780,0.0637659560710452,-3.0,36003224,-1.744546e+06,-4.06648e+06,-3.458959e+06
IC0000,2304783,0.06401601701003222,-3.0,36003224,-1.748371e+06,-4.080731e+06,-3.476054e+06
IC0000,2313786,0.06426607794901923,-3.0,36003224,-1.753587e+06,-4.099484e+06,-3.495315e+06
IC0000,2322789,0.06451613888800625,-3.0,36003224,-1.76019e+06,-4.116157e+06,-3.520992e+06
IC0000,2331792,0.06476619982699328,-3.0,36003224,-1.766408e+06,-4.124591e+06,-3.523754e+06
IC0000,2340795,0.06501626076598029,-3.0,36003224,-1.771539e+06,-4.13367e+06,-3.534505e+06
IC0000,2349798,0.06526632170496731,-3.0,36003224,-1.775091e+06,-4.144017e+06,-3.538316e+06
IC0000,2358801,0.06551638264395433,-3.0,36003224,-1.778517e+06,-4.152412e+06,-3.542215e+06
IC0000,2367804,0.06576644358294136,-3.0,36003224,-1.782161e+06,-4.161728e+06,-3.549785e+06
IC0000,2376807,0.06601650452192837,-3.0,36003224,-1.785733e+06,-4.170639e+06,-3.558134e+06
IC0000,2385810,0.06626656546091539,-3.0,36003224,-1.789377e+06,-4.181484e+06,-3.561097e+06
IC0000,2394814,0.06651665417519276,-3.0,36003224,-1.793834e+06,-4.198813e+06,-3.577528e+06
IC0000,2403817,0.06676671511417978,-3.0,36003224,-1.796879e+06,-4.209103e+06,-3.581422e+06
IC0000,2412820,0.06701677605316679,-3.0,36003224,-1.800691e+06,-4.218363e+06,-3.581606e+06
IC0000,2421823,0.06726683699215381,-3.0,36003224,-1.804867e+06,-4.232144e+06,-3.594491e+06
IC0000,2430826,0.06751689793114084,-3.0,36003224,-1.809211e+06,-4.244048e+06,-3.607367e+06
