code,rank,q,oir,n_total,cum1,cum5,cum10,cum20
IC0000,269235,0.04601149932871592,-0.6666667,5851472,-55108.0,-76705.0,-89002.0,-73257.0
IC0000,270699,0.046261692784311366,-0.6666667,5851472,-55256.0,-77280.0,-89763.0,-73958.0
IC0000,272162,0.04651171534273769,-0.6666667,5851472,-55567.0,-77937.0,-90286.0,-74737.0
IC0000,273625,0.046761737901164016,-0.6666667,5851472,-56289.0,-79114.0,-91197.0,-74443.0
IC0000,275088,0.04701176045959034,-0.6666667,5851472,-56753.0,-78545.0,-91568.0,-76795.0
IC0000,276552,0.047261953915185784,-0.6666667,5851472,-57127.0,-79602.0,-92769.0,-80239.0
IC0000,278015,0.04751197647361211,-0.6666667,5851472,-57486.0,-79595.0,-92839.0,-79817.0
IC0000,279478,0.047761999032038434,-0.6666667,5851472,-57819.0,-80312.0,-93728.0,-79794.0
IC0000,280941,0.048012021590464755,-0.6666667,5851472,-58058.0,-80879.0,-94676.0,-79882.0
IC0000,282405,0.04826221504606021,-0.6666667,5851472,-58425.0,-81961.0,-95806.0,-81061.0
IC0000,283868,0.04851223760448653,-0.6666667,5851472,-58702.0,-82097.0,-95831.0,-81029.0
IC0000,285331,0.04876226016291285,-0.6666667,5851472,-59283.0,-83056.0,-97244.0,-82715.0
IC0000,286794,0.04901228272133918,-0.6666667,5851472,-59657.0,-84063.0,-98731.0,-84027.0
IC0000,288258,0.049262476176934626,-0.6666667,5851472,-60092.0,-85150.0,-100279.0,-85424.0
IC0000,289721,0.04951249873536095,-0.6666667,5851472,-60361.0,-85563.0,-100915.0,-86125.0
IC0000,291184,0.04976252129378727,-0.6666667,5851472,-60942.0,-86796.0,-102407.0,-87565.0
IC0000,292647,0.0500125438522136,-0.6666667,5851472,-61338.0,-87500.0,-103221.0,-87863.0
IC0000,294110,0.05026256641063992,-0.6666667,5851472,-61526.0,-87825.0,-103523.0,-87790.0
IC0000,295574,0.050512759866235366,-0.6666667,5851472,-61762.0,-88382.0,-104266.0,-88344.0
IC0000,297037,0.050762782424661694,-0.6666667,5851472,-61988.0,-89076.0,-105274.0,-89388.0
IC0000,298500,0.051012804983088016,-0.6666667,5851472,-62115.0,-89751.0,-106128.0,-90696.0
