code,rank,q,voi,n_total,cum1,cum5,cum10,cum20
IC0000,286772,0.04901238435545584,-4.0,5851011,-211014.0,-458733.0,-534395.0,-545428.0
IC0000,288235,0.04926242661311011,-4.0,5851011,-212234.0,-460951.0,-536764.0,-547496.0
IC0000,289698,0.04951246887076439,-4.0,5851011,-213250.0,-463904.0,-540211.0,-550849.0
IC0000,291161,0.04976251112841866,-4.0,5851011,-214525.0,-466527.0,-543414.0,-554254.0
IC0000,292624,0.05001255338607294,-4.0,5851011,-215522.0,-469157.0,-546835.0,-557609.0
IC0000,294087,0.05026259564372721,-4.0,5851011,-216342.0,-471161.0,-549310.0,-559965.0
IC0000,295550,0.05051263790138149,-4.0,5851011,-217514.0,-474011.0,-552725.0,-562530.0
IC0000,297014,0.05076285106966984,-4.0,5851011,-218270.0,-475816.0,-554511.0,-563670.0
IC0000,298477,0.051012893327324116,-4.0,5851011,-219299.0,-477991.0,-557202.0,-566866.0
IC0000,299940,0.05126293558497839,-4.0,5851011,-220375.0,-480280.0,-559878.0,-569670.0
IC0000,301403,0.051512977842632666,-4.0,5851011,-221388.0,-482429.0,-562224.0,-572108.0
IC0000,302866,0.051763020100286945,-4.0,5851011,-222355.0,-484517.0,-564916.0,-575071.0
IC0000,304329,0.05201306235794122,-4.0,5851011,-223270.0,-486192.0,-566710.0,-576737.0
IC0000,305792,0.052263104615595496,-4.0,5851011,-224206.0,-488020.0,-568983.0,-579628.0
IC0000,307255,0.05251314687324977,-4.0,5851011,-224951.0,-489471.0,-570928.0,-581611.0
IC0000,308718,0.05276318913090405,-4.0,5851011,-225641.0,-491050.0,-572783.0,-583331.0
IC0000,310182,0.053013402299192394,-4.0,5851011,-226464.0,-492680.0,-574553.0,-584824.0
IC0000,311645,0.05326344455684667,-3.0,5851011,-227315.0,-494569.0,-576902.0,-587665.0
IC0000,313108,0.053513486814500945,-3.0,5851011,-227782.0,-496079.0,-578447.0,-589138.0
IC0000,314571,0.053763529072155224,-3.0,5851011,-228403.0,-497546.0,-580441.0,-590905.0
IC0000,316034,0.054013571329809495,-3.0,5851011,-229223.0,-499134.0,-582642.0,-593115.0
IC0000,317497,0.054263613587463774,-3.0,5851011,-229741.0,-500835.0,-584560.0,-594391.0
IC0000,318960,0.054513655845118046,-3.0,5851011,-230428.0,-502586.0,-587025.0,-596752.0
IC0000,320423,0.054763698102772325,-3.0,5851011,-231081.0,-504206.0,-588918.0,-598938.0
IC0000,321887,0.05501391127106068,-3.0,5851011,-231752.0,-505640.0,-590997.0,-601155.0
IC0000,323350,0.05526395352871495,-3.0,5851011,-232645.0,-507962.0,-594212.0,-605442.0
IC0000,324813,0.05551399578636923,-3.0,5851011,-233165.0,-510073.0,-597170.0,-608153.0
IC0000,326276,0.0557640380440235,-3.0,5851011,-233918.0,-513168.0,-601215.0,-612609.0
IC0000,327739,0.05601408030167778,-3.0,5851011,-234743.0,-515221.0,-603231.0,-614671.0
IC0000,329202,0.05626412255933205,-3.0,5851011,-235748.0,-517920.0,-606376.0,-618458.0
IC0000,330665,0.05651416481698633,-3.0,5851011,-236393.0,-519708.0,-608729.0,-622146.0
IC0000,332128,0.0567642070746406,-3.0,5851011,-237459.0,-522625.0,-612412.0,-626993.0
IC0000,333591,0.05701424933229488,-3.0,5851011,-238325.0,-525505.0,-616273.0,-631428.0
IC0000,335055,0.05726446250058323,-3.0,5851011,-239348.0,-530214.0,-622001.0,-636119.0
IC0000,336518,0.05751450475823751,-3.0,5851011,-240575.0,-532386.0,-624778.0,-638470.0
IC0000,337981,0.05776454701589178,-3.0,5851011,-241275.0,-535389.0,-628027.0,-643213.0
IC0000,339444,0.05801458927354606,-3.0,5851011,-242317.0,-538143.0,-630963.0,-647284.0
IC0000,340907,0.05826463153120033,-3.0,5851011,-242937.0,-539355.0,-632068.0,-648814.0
IC0000,342370,0.05851467378885461,-3.0,5851011,-243730.0,-541648.0,-634061.0,-651289.0
IC0000,343833,0.05876471604650889,-3.0,5851011,-244805.0,-543619.0,-635492.0,-652428.0
IC0000,345296,0.05901475830416316,-3.0,5851011,-245570.0,-545154.0,-637208.0,-654191.0
IC0000,346760,0.059264971472451515,-3.0,5851011,-246352.0,-546592.0,-638610.0,-655968.0
IC0000,348223,0.05951501373010579,-3.0,5851011,-247050.0,-548850.0,-641279.0,-659621.0
IC0000,349686,0.059765055987760066,-3.0,5851011,-247812.0,-551128.0,-643599.0,-662548.0
IC0000,351149,0.06001509824541434,-3.0,5851011,-248502.0,-553199.0,-646162.0,-665095.0
IC0000,352612,0.060265140503068616,-3.0,5851011,-249173.0,-554649.0,-647633.0,-666431.0
IC0000,354075,0.06051518276072289,-3.0,5851011,-249685.0,-556483.0,-649851.0,-668655.0
IC0000,355538,0.06076522501837717,-3.0,5851011,-250404.0,-558030.0,-651076.0,-669796.0
IC0000,357001,0.06101526727603144,-3.0,5851011,-251045.0,-559387.0,-652771.0,-671492.0
IC0000,358464,0.06126530953368572,-3.0,5851011,-251524.0,-560957.0,-654333.0,-672754.0
IC0000,359928,0.06151552270197407,-3.0,5851011,-252170.0,-562443.0,-655920.0,-674537.0
IC0000,361391,0.061765564959628344,-3.0,5851011,-252805.0,-563609.0,-657347.0,-675805.0
IC0000,362854,0.06201560721728262,-3.0,5851011,-253241.0,-564724.0,-658529.0,-676835.0
IC0000,364317,0.062265649474936895,-3.0,5851011,-253929.0,-566106.0,-660505.0,-678836.0
IC0000,365780,0.06251569173259117,-3.0,5851011,-254583.0,-567934.0,-662907.0,-681109.0
IC0000,367243,0.06276573399024545,-3.0,5851011,-255434.0,-569741.0,-665377.0,-684117.0
IC0000,368706,0.06301577624789972,-3.0,5851011,-256049.0,-571884.0,-668475.0,-687453.0
IC0000,370169,0.063265818505554,-3.0,5851011,-256543.0,-573466.0,-670072.0,-689249.0
IC0000,371633,0.06351603167384234,-3.0,5851011,-257196.0,-574982.0,-671733.0,-691238.0
IC0000,373096,0.06376607393149662,-3.0,5851011,-257862.0,-576558.0,-673175.0,-692685.0
IC0000,374559,0.0640161161891509,-3.0,5851011,-258453.0,-578037.0,-675053.0,-694749.0
IC0000,376022,0.06426615844680518,-3.0,5851011,-259098.0,-579932.0,-676899.0,-695930.0
IC0000,377485,0.06451620070445944,-3.0,5851011,-259895.0,-581735.0,-679238.0,-698752.0
IC0000,378948,0.06476624296211372,-3.0,5851011,-260803.0,-583983.0,-682522.0,-702992.0
IC0000,380411,0.065016285219768,-3.0,5851011,-261474.0,-585922.0,-684448.0,-704918.0
IC0000,381874,0.06526632747742228,-3.0,5851011,-262322.0,-588011.0,-686855.0,-707594.0
IC0000,383337,0.06551636973507656,-3.0,5851011,-263116.0,-589806.0,-688865.0,-709720.0
IC0000,384801,0.0657665829033649,-3.0,5851011,-263614.0,-591075.0,-689761.0,-710312.0
IC0000,386264,0.06601662516101918,-3.0,5851011,-264132.0,-592293.0,-691088.0,-711545.0
IC0000,387727,0.06626666741867346,-3.0,5851011,-264649.0,-593367.0,-692285.0,-712422.0
IC0000,389190,0.06651670967632774,-3.0,5851011,-265117.0,-594611.0,-693883.0,-713928.0
IC0000,390653,0.066766751933982,-3.0,5851011,-265574.0,-595751.0,-694827.0,-714643.0
IC0000,392116,0.06701679419163628,-3.0,5851011,-266129.0,-596933.0,-696471.0,-716254.0
IC0000,393579,0.06726683644929056,-3.0,5851011,-266475.0,-597970.0,-697734.0,-717753.0
IC0000,395042,0.06751687870694484,-3.0,5851011,-266881.0,-599028.0,-699128.0,-719498.0
IC0000,396506,0.06776709187523319,-3.0,5851011,-267299.0,-599921.0,-700357.0,-721002.0
IC0000,397969,0.06801713413288746,-3.0,5851011,-267857.0,-600961.0,-701687.0,-722236.0
IC0000,399432,0.06826717639054174,-3.0,5851011,-268203.0,-601871.0,-702928.0,-723400.0
IC0000,400895,0.06851721864819602,-3.0,5851011,-268722.0,-602859.0,-704212.0,-725201.0
IC0000,402358,0.0687672609058503,-3.0,5851011,-269195.0,-604202.0,-705756.0,-727081.0
