code,year,month,S,sum,sumsq,n
IC0000,2022,5,40,-144.79999999996926,111128.49999999904,4414
IC0000,2022,5,50,-647.9000000000187,119635.10999999853,4414
IF0000,2022,5,0,-675.0999999999904,37496.849999999344,4399
IF0000,2022,5,10,-328.4000000000224,34155.679999999404,4399
IF0000,2022,5,20,-128.59999999998445,30337.199999999248,4399
IF0000,2022,5,30,-156.49999999999,31593.309999999463,4399
IF0000,2022,5,40,-119.899999999991,34312.60999999935,4399
IF0000,2022,5,50,-164.50000000001955,37415.12999999939,4399
IH0000,2022,5,0,-342.40000000000646,14724.939999999966,4338
IH0000,2022,5,10,-219.70000000001573,13524.589999999904,4338
IH0000,2022,5,20,-105.60000000000218,12361.000000000018,4338
IH0000,2022,5,30,-84.50000000001364,12470.289999999943,4338
IH0000,2022,5,40,-48.899999999992815,13586.609999999924,4338
IH0000,2022,5,50,-2.7999999999956344,14272.199999999975,4338
IC0000,2022,6,0,175.39999999993324,128426.5199999982,4878
IC0000,2022,6,10,103.10000000000218,118466.52999999835,4878
IC0000,2022,6,20,445.59999999998035,117302.95999999877,4878
IC0000,2022,6,30,469.2000000000153,124339.75999999908,4878
IC0000,2022,6,40,228.70000000001528,129475.60999999862,4878
IC0000,2022,6,50,-36.29999999997926,132851.32999999908,4878
IF0000,2022,6,0,-261.30000000006385,48586.52999999973,4854
IF0000,2022,6,10,-5.500000000086402,44183.04999999952,4854
IF0000,2022,6,20,165.9000000000151,44912.6899999995,4854
IF0000,2022,6,30,299.5000000000264,47476.54999999934,4854
IF0000,2022,6,40,316.80000000007385,50048.139999999265,4854
IF0000,2022,6,50,166.09999999999718,51036.94999999932,4854
IH0000,2022,6,0,-360.69999999999754,21694.58999999959,4818
IH0000,2022,6,10,-200.80000000001564,19510.15999999975,4818
IH0000,2022,6,20,-127.19999999998709,19520.339999999655,4818
IH0000,2022,6,30,-30.89999999998645,20936.30999999978,4818
IH0000,2022,6,40,-17.600000000001273,22104.83999999985,4818
IH0000,2022,6,50,-140.4000000000092,22618.159999999672,4818
IC0000,2022,7,0,-29.399999999988722,88264.63999999885,4874
IC0000,2022,7,10,-517.3000000000584,93574.669999999,4874
IC0000,2022,7,20,-178.8000000000211,89268.89999999812,4874
IC0000,2022,7,30,-148.00000000001546,88174.8399999986,4874
IC0000,2022,7,40,-355.7999999999165,88687.03999999806,4874
IC0000,2022,7,50,-343.399999999996,89207.93999999916,4874
IF0000,2022,7,0,148.6999999999698,34274.069999999556,4848
IF0000,2022,7,10,-99.80000000001291,37152.45999999971,4848
IF0000,2022,7,20,20.500000000048203,35389.12999999958,4848
IF0000,2022,7,30,-13.399999999999636,35133.13999999948,4848
IF0000,2022,7,40,-161.00000000002183,35459.73999999972,4848
IF0000,2022,7,50,-172.00000000003547,35579.97999999945,4848
IH0000,2022,7,0,102.29999999997881,14584.789999999952,4805
IH0000,2022,7,10,-95.40000000001919,15736.380000000145,4805
IH0000,2022,7,20,-72.69999999997708,15368.23,4805
