code,year,month,sum_K20,n_K20,sum_K42,n_K42,sum_K60,n_K60,sum_K90,n_K90,sum_close,n_close
IF0000,2022,9,185.4000000000333,4861,178.20000000001573,4861,97.80000000000564,4840,-236.39999999998236,4041,-36.49999999997999,4861
IH0000,2022,9,168.00000000003683,4806,88.900000000001,4776,-15.49999999998954,4488,-195.899999999996,2343,61.90000000002374,4806
IM0000,2022,9,568.7999999999483,4903,1015.2000000000371,4897,857.9999999999982,4833,403.899999999996,3568,835.399999999956,4903
IC0000,2022,10,557.1000000000313,3744,539.6000000000458,3743,448.50000000001273,3701,319.2000000000253,2693,642.6000000000231,3744
IF0000,2022,10,39.09999999997672,3718,106.19999999999482,3713,-72.79999999999654,3621,-139.49999999999136,2462,203.49999999999727,3718
IH0000,2022,10,-5.000000000037289,3714,5.399999999987813,3678,-53.80000000000928,3372,-255.80000000001291,1776,54.49999999997863,3715
IM0000,2022,10,673.800000000083,3756,1309.7000000000626,3752,1252.1000000000877,3688,701.8000000000602,2899,1029.6000000000595,3756
IC0000,2022,11,-142.599999999974,5145,90.30000000002929,5145,169.10000000001946,5126,-121.5999999999558,4197,-25.10000000000673,5145
IF0000,2022,11,234.09999999997262,5128,346.699999999993,5127,324.6999999999939,5085,75.99999999998681,4182,210.69999999999163,5128
IH0000,2022,11,260.4000000000033,5099,373.8999999999987,5073,377.3000000000002,4894,125.69999999998117,3193,365.3000000000143,5099
IM0000,2022,11,-43.69999999999436,5140,85.90000000000873,5138,111.39999999999327,5072,-313.0999999999849,3837,-326.8999999999887,5140
IC0000,2022,12,-234.39999999998963,5111,-13.500000000011823,5050,-33.90000000002692,4668,-157.09999999995307,2740,19.49999999996544,5111
IF0000,2022,12,-32.299999999986994,5084,124.10000000001992,5080,144.10000000002037,5041,-118.89999999996871,4183,-17.699999999993906,5084
IH0000,2022,12,68.80000000002428,5028,120.10000000001492,5024,104.9000000000101,4929,-181.49999999998863,3341,-58.29999999996471,5029
IM0000,2022,12,-119.80000000004111,5121,204.29999999999563,5098,82.99999999998545,4825,-522.7000000000062,2858,-26.299999999975626,5121
IC0000,2023,1,14.700000000003456,3708,-41.09999999999218,3655,-106.69999999996799,3223,-276.7999999999929,1107,-65.09999999999127,3710
IF0000,2023,1,59.00000000000682,3706,98.79999999998654,3697,64.89999999998099,3464,-159.49999999999272,1974,48.19999999997208,3706
IH0000,2023,1,49.100000000023556,3650,90.00000000002228,3590,32.60000000001355,3182,-78.2999999999929,1462,103.70000000002574,3650
IM0000,2023,1,-128.8999999999669,3725,-127.49999999993724,3565,-293.299999999992,2896,-343.0000000000273,1020,-184.49999999997453,3729
IC0000,2023,2,88.59999999996853,4680,529.2000000000571,4679,284.50000000003183,4641,-393.30000000002474,3385,-126.29999999997926,4680
IF0000,2023,2,134.59999999999445,4640,288.400000000006,4633,154.4999999999559,4536,-163.8000000000202,3197,-23.200000000009368,4640
IH0000,2023,2,102.00000000000637,4586,185.80000000001928,4541,121.29999999999745,4098,33.10000000002492,2274,173.50000000000455,4586
IM0000,2023,2,71.19999999996617,4669,616.3999999999833,4655,216.200000000028,4448,-348.10000000000764,2718,59.29999999997017,4669
IC0000,2023,3,350.2999999999647,5362,487.3000000000384,5316,343.7000000000053,4941,126.39999999998417,2995,319.7999999999647,5362
IF0000,2023,3,201.60000000001855,5307,359.30000000000246,5277,314.59999999999263,5016,85.10000000000082,3211,360.9000000000383,5307
IH0000,2023,3,166.90000000000055,5239,196.2000000000089,5217,230.00000000002183,5042,-5.599999999978081,3070,248.00000000003502,5249
IM0000,2023,3,305.0000000000364,5359,435.00000000004366,5288,407.40000000005057,4876,58.899999999999636,2780,199.90000000004056,5360
IC0000,2023,4,-38.999999999939064,4409,309.50000000008004,4360,302.9000000000906,3887,-17.799999999963802,1434,368.6000000000995,4409
IF0000,2023,4,194.8000000000452,4354,326.3000000000243,4285,219.00000000002092,3742,-64.39999999998417,1344,256.50000000003274,4355
IH0000,2023,4,100.8999999999769,4292,203.39999999997872,4102,160.79999999999882,3291,-53.500000000001364,1180,246.20000000000482,4295
