code,year,month,avg_spread,med_spread,n
IF0000,2025,12,0.43146794150733936,0.3999999999996362,21336
IH0000,2025,12,0.34594562647753996,0.3999999999996362,16920
IM0000,2025,12,0.7405092694044245,0.6000000000003638,22817
IC0000,2026,1,1.1754608954540222,1.0,17466
IF0000,2026,1,0.5032054337464442,0.4000000000005457,16784
IH0000,2026,1,0.44206422343517926,0.40000000000009095,14107
IM0000,2026,1,1.0848038375877933,1.0,17511
IC0000,2026,2,1.2168086314593796,1.0,14088
IF0000,2026,2,0.48670750382850214,0.4000000000005457,13060
IH0000,2026,2,0.3900424903011334,0.40000000000009095,10826
IM0000,2026,2,1.0375916955017073,1.0,14450
IC0000,2026,3,1.4377289377289737,1.3999999999996362,22386
IF0000,2026,3,0.557245392822508,0.5999999999994543,20620
IH0000,2026,3,0.4327467300832355,0.40000000000009095,16820
IM0000,2026,3,1.1742189206904514,1.0,22885
IC0000,2026,4,1.1048578008676824,1.0,18671
IF0000,2026,4,0.48921615201901264,0.4000000000005457,16840
IH0000,2026,4,0.3683771446560651,0.40000000000009095,12706
IM0000,2026,4,0.9476351879856246,1.0,19177
IC0000,2026,5,1.1324777478782613,1.0,14493
IF0000,2026,5,0.5311875045617288,0.4000000000005457,13701
IH0000,2026,5,0.38436578171091185,0.40000000000009095,11526
IM0000,2026,5,0.936210283856075,0.8000000000010914,14761
