code,year,month,F,X,sum,sumsq,n
IH0000,2025,9,50,100,162.5000000000291,14809.390000000183,5022
IH0000,2025,9,50,110,92.50000000001364,16476.53000000019,5010
IH0000,2025,9,50,120,53.49999999999591,18835.609999999946,4985
IH0000,2025,9,50,140,7.700000000025284,21844.350000000042,4899
IH0000,2025,9,50,160,-106.59999999998399,23782.639999999825,4582
IH0000,2025,9,50,180,-116.29999999995971,23294.329999999933,3833
IH0000,2025,9,50,200,-136.29999999996426,20284.91000000007,2538
IH0000,2025,9,50,220,42.39999999999327,12771.36000000008,1123
IH0000,2025,9,50,240,0.0,0.0,0
IH0000,2025,9,60,60,142.69999999998754,9655.110000000152,5030
IH0000,2025,9,60,80,170.10000000000582,12089.490000000143,5029
IH0000,2025,9,60,100,145.29999999998563,14805.670000000104,5022
IH0000,2025,9,60,110,80.89999999997144,16482.130000000092,5010
IH0000,2025,9,60,120,41.899999999956435,18724.44999999977,4985
IH0000,2025,9,60,140,-5.100000000024011,21802.38999999996,4899
IH0000,2025,9,60,160,-113.80000000002201,23751.8399999997,4582
IH0000,2025,9,60,180,-119.29999999999427,23289.329999999816,3833
IH0000,2025,9,60,200,-154.70000000001392,20206.629999999866,2538
IH0000,2025,9,60,220,-30.800000000014734,12924.999999999976,1123
IH0000,2025,9,60,240,0.0,0.0,0
IH0000,2025,9,70,60,46.70000000000073,14194.150000000198,5029
IH0000,2025,9,70,80,73.70000000001892,12077.890000000116,5029
IH0000,2025,9,70,100,54.69999999999891,14986.51000000011,5022
IH0000,2025,9,70,110,-8.900000000016007,16707.930000000157,5010
IH0000,2025,9,70,120,-42.700000000031196,18977.72999999983,4985
IH0000,2025,9,70,140,-92.100000000004,22139.989999999987,4899
IH0000,2025,9,70,160,-209.40000000001874,24015.199999999713,4582
IH0000,2025,9,70,180,-170.89999999998645,23547.449999999797,3833
IH0000,2025,9,70,200,-231.6999999999848,20359.749999999734,2538
IH0000,2025,9,70,220,-68.99999999999909,13151.719999999943,1123
IH0000,2025,9,70,240,0.0,0.0,0
IM0000,2025,9,30,60,372.5000000001164,132128.42999999924,5154
IM0000,2025,9,30,80,545.9000000001279,167328.72999999925,5154
IM0000,2025,9,30,100,632.0000000001273,202083.86,5154
IM0000,2025,9,30,110,484.40000000010514,216749.59999999942,5154
IM0000,2025,9,30,120,265.4000000001324,242470.09999999963,5140
IM0000,2025,9,30,140,179.50000000012187,303372.3700000001,5115
IM0000,2025,9,30,160,-361.99999999987904,354168.7000000002,5115
IM0000,2025,9,30,180,-254.1999999998725,378031.9999999998,5115
IM0000,2025,9,30,200,-143.39999999989777,403769.6799999996,5111
IM0000,2025,9,30,220,121.0000000000955,430782.7199999991,4985
IM0000,2025,9,30,240,0.0,0.0,0
IM0000,2025,9,40,60,54.90000000002692,141588.78999999928,5154
IM0000,2025,9,40,80,228.30000000003838,177001.52999999994,5154
IM0000,2025,9,40,100,314.40000000003783,210731.0199999996,5154
IM0000,2025,9,40,110,166.80000000001564,226103.43999999977,5154
IM0000,2025,9,40,120,-33.799999999959255,253404.94000000026,5140
IM0000,2025,9,40,140,-101.69999999996253,318452.8100000004,5115
IM0000,2025,9,40,160,-643.1999999999634,369872.5400000007,5115
IM0000,2025,9,40,180,-535.3999999999569,392309.1199999996,5115
IM0000,2025,9,40,200,-421.79999999997926,421529.5199999979,5111
IM0000,2025,9,40,220,-153.3999999999769,450149.04000000074,4985
IM0000,2025,9,40,240,0.0,0.0,0
IM0000,2025,9,50,60,20.50000000012733,140959.8699999992,5154
IM0000,2025,9,50,80,193.9000000001388,174817.04999999885,5154
IM0000,2025,9,50,100,280.00000000013824,210311.5799999984,5154
IM0000,2025,9,50,110,132.40000000011605,226206.59999999907,5154
IM0000,2025,9,50,120,-71.39999999985776,254204.77999999918,5140
IM0000,2025,9,50,140,-144.49999999986903,322014.5699999998,5115
IM0000,2025,9,50,160,-685.9999999998699,372766.3000000008,5115
IM0000,2025,9,50,180,-578.1999999998634,394299.6399999998,5115
IM0000,2025,9,50,200,-468.9999999998872,421570.3999999995,5111
IM0000,2025,9,50,220,-244.19999999989614,450575.719999999,4985
IM0000,2025,9,50,240,0.0,0.0,0
IM0000,2025,9,60,60,-50.49999999992906,133965.50999999788,5154
IM0000,2025,9,60,80,122.9000000000824,168582.2899999971,5154
IM0000,2025,9,60,100,209.00000000008185,204725.659999997,5154
IM0000,2025,9,60,110,61.40000000005966,220106.39999999764,5154
