win,avg_spread,n,code,year,month
810,0.7687560644285739,36071,IC0000,2020,9
825,0.7949227191903395,36555,IC0000,2020,9
840,0.7853686108794162,37153,IC0000,2020,9
855,0.7931949846330392,36767,IC0000,2020,9
870,0.7520889722632614,37315,IC0000,2020,9
885,0.5814563973330417,38094,IC0000,2020,9
900,0.8533333333331635,15,IC0000,2020,9
570,0.5663143311612618,38978,IF0000,2020,9
585,0.5329717490324971,37981,IF0000,2020,9
600,0.5265581579992823,37785,IF0000,2020,9
615,0.5349407482416797,36539,IF0000,2020,9
630,0.5193015416920621,36194,IF0000,2020,9
645,0.5306390230048967,35210,IF0000,2020,9
660,0.5313640068580521,35579,IF0000,2020,9
675,0.5437369106243888,35334,IF0000,2020,9
780,0.5453532439618303,35358,IF0000,2020,9
795,0.5245804653280253,35158,IF0000,2020,9
810,0.5186421467230328,35291,IF0000,2020,9
825,0.5094497238808794,35673,IF0000,2020,9
840,0.541746609328559,36276,IF0000,2020,9
855,0.5508639700751621,35823,IF0000,2020,9
870,0.5212860550857532,36888,IF0000,2020,9
885,0.4431320363027774,37573,IF0000,2020,9
900,0.7368421052633494,19,IF0000,2020,9
690,0.6125000000001251,16,IF0000,2020,9
570,0.636066918156523,36582,IH0000,2020,9
585,0.5828221223931394,33613,IH0000,2020,9
600,0.5874984435313363,32124,IH0000,2020,9
615,0.577625021481367,29095,IH0000,2020,9
630,0.5505226964887412,28793,IH0000,2020,9
645,0.5496362494922413,27079,IH0000,2020,9
660,0.5605697800216506,27730,IH0000,2020,9
675,0.575664651467712,27458,IH0000,2020,9
780,0.5736855604001148,27293,IH0000,2020,9
795,0.558050554646314,27495,IH0000,2020,9
810,0.558787922461641,27754,IH0000,2020,9
825,0.5684055999140817,27929,IH0000,2020,9
840,0.5959527010721714,29007,IH0000,2020,9
855,0.5915494933202587,28519,IH0000,2020,9
870,0.5675159023545618,30027,IH0000,2020,9
885,0.5076481715006668,31720,IH0000,2020,9
690,0.733333333333303,15,IH0000,2020,9
900,1.1200000000000727,10,IH0000,2020,9
570,0.8880229754645317,28204,IC0000,2020,10
585,0.8344101228136063,26870,IC0000,2020,10
600,0.8601872015282314,26175,IC0000,2020,10
615,0.873770361541565,25170,IC0000,2020,10
630,0.841706735625735,24749,IC0000,2020,10
645,0.8724960793456116,23593,IC0000,2020,10
660,0.8268583333333851,24000,IC0000,2020,10
675,0.8681194708222301,24642,IC0000,2020,10
690,0.9400000000000546,10,IC0000,2020,10
780,0.8661535312180556,24425,IC0000,2020,10
795,0.8220980441961372,23622,IC0000,2020,10
810,0.836799261497194,23832,IC0000,2020,10
825,0.8492277414110924,23373,IC0000,2020,10
840,0.8240749756573059,24648,IC0000,2020,10
855,0.8342892924233373,23955,IC0000,2020,10
870,0.7800365630713562,24615,IC0000,2020,10
885,0.6161521098741999,26139,IC0000,2020,10
900,1.3538461538463218,13,IC0000,2020,10
570,0.7449224594052591,27405,IF0000,2020,10
585,0.7079665475676509,25469,IF0000,2020,10
