win,mean,n,code,year,month
585,-0.36088435374152567,294,IC0000,2021,1
600,-0.10774410774418736,297,IC0000,2021,1
615,-0.5375000000000412,296,IC0000,2021,1
630,0.17090301003341257,299,IC0000,2021,1
645,0.1506711409396144,298,IC0000,2021,1
660,-0.26521739130432714,299,IC0000,2021,1
675,0.25151515151513254,297,IC0000,2021,1
780,-0.08242187499996945,256,IC0000,2021,1
795,-0.4229729729729232,296,IC0000,2021,1
810,-0.007692307692378262,299,IC0000,2021,1
825,-0.2043478260869699,299,IC0000,2021,1
840,-0.3674496644295119,298,IC0000,2021,1
855,-0.011824324324382704,296,IC0000,2021,1
870,-0.13143812709026512,299,IC0000,2021,1
