method,t1,t2,r,x,n_peak,a_sum,a_ss,g_sum,g_ss,v_sum,v_ss,rhits
norm,5,40,ALL,20,22231401,37090142.15000013,5092808745.378752,831210.3249998338,2778347560.9581194,74366119.20000009,550282468.4950007,10164648
norm,5,40,1.5,20,3998854,6869303.275000029,1365019275.3568726,120674.77499997376,611288489.576876,13876324.59999999,111288819.41499986,1874058
norm,5,40,2.0,20,1703115,2895836.7750000106,752821881.8656257,36729.17499998913,289150061.66562474,5569514.6999999955,44267204.635000005,806082
norm,5,40,3.0,20,363453,617058.3500000029,259474366.28750002,-1913.3500000021259,68254502.18749994,1033681.6500000008,8118930.557499999,173702
norm,5,40,ALL,40,22196001,53335372.55000006,8327420281.341247,825537.1749998182,4538977981.033132,74127284.47500002,515737039.9031254,10257870
norm,5,40,1.5,40,3992834,9572970.050000016,1799846603.9474998,164498.99999996994,726439551.4400008,13168030.325000009,93632530.02062501,1892475
norm,5,40,2.0,40,1700878,4004141.425000015,980130772.5881239,45916.27499998738,334729867.96562445,5180406.374999998,35500199.29062501,812904
norm,5,40,3.0,40,363188,852847.3000000024,362132662.51000035,-9132.400000002119,101049299.99999997,932228.1749999992,6038992.225625001,174920
norm,5,40,ALL,80,22125201,76084021.80000004,13215303670.808762,822883.1499998175,7389609054.218757,73696809.63749991,484000698.91078216,10324005
norm,5,40,1.5,80,3983046,13365078.175000003,2723198439.6281233,99396.92499997179,1382648929.0856254,12483524.562500004,78910167.29484378,1906305
norm,5,40,2.0,80,1697633,5528288.900000006,1372622240.7112498,-10968.500000012078,605587272.20125,4825722.000000008,28632763.767187525,819537
norm,5,40,3.0,80,362649,1145280.100000001,430398365.97499937,-19737.10000000235,154014097.73500007,848078.5875000001,4595538.330468752,177056
norm,5,40,ALL,120,22054401,92871590.55000015,16886673650.913754,827026.5749998093,9519385502.11311,73259035.6999999,465235900.9630556,10325132
norm,5,40,1.5,120,3967813,16223516.200000035,3244560090.7937517,38321.04999996848,1546852765.918749,12202418.341666654,73045660.30215275,1906959
norm,5,40,2.0,120,1691613,6720324.950000007,1674699454.3862512,-33780.40000001314,618552734.99625,4693606.525000009,26105692.56881949,820759
norm,5,40,3.0,120,361479,1379857.600000003,492949716.6249999,-24219.400000002446,162593353.76499996,818575.5249999992,4094733.7335416647,177392
norm,10,20,ALL,2,22298661,10757933.40000026,889535812.4149997,231039.22499991852,564885306.7393742,75024231.5,768588458.75,9379355
norm,10,20,1.5,2,1404374,742715.4500000171,261975836.84125048,2734.6499999961015,133007224.21124996,4050370.5,48479390.75,594361
norm,10,20,ALL,5,22293351,17734629.350000255,2051067843.4787502,514876.8249998895,1301365223.6956282,74979231.80000003,657906899.640001,9963598
norm,10,20,1.5,5,1404257,1150458.025000018,392845916.44062483,6372.624999993729,197103082.66812497,3770061.5999999954,34915260.96,637573
norm,10,20,ALL,10,22284501,25806318.050000165,3367479637.058749,641928.1749998649,2119735328.5006254,74905201.50000006,602893201.2899995,10224431
norm,10,20,1.5,10,1404007,1572185.1250000137,425926472.1681248,-5855.00000000804,275663705.185,3552724.599999995,27282822.520000014,654934
norm,10,20,ALL,20,22266801,37213161.6000001,5093710357.191242,618207.0249998433,3064394989.940633,74759788.0999999,560425288.5249999,10405488
norm,10,20,1.5,20,1403326,2149564.8000000133,409871538.68500066,15822.399999991076,238102837.5550001,3367818.8499999987,21925066.747499954,666048
norm,10,20,ALL,40,22231401,53498015.90000012,8329102977.773751,540708.9499998261,4878397482.78748,74489687.85000005,524239684.530001,10510495
norm,10,20,1.5,40,1401798,3037939.5250000153,628588198.1856241,12976.274999989764,291399021.3756257,3200387.6500000036,17969286.233750004,671898
norm,10,20,ALL,80,22160601,76291472.6500001,13218051881.826271,386746.0249998241,7780643637.325632,74014448.78750004,490415403.9567185,10586884
norm,10,20,1.5,80,1399297,4251982.500000011,922630570.7900008,-47773.00000001183,428257256.98999995,3047812.9125000024,14894071.77296876,678987
norm,10,20,ALL,120,22089801,93141026.6000001,16891087105.966242,348257.94999981485,9990920315.26372,73576400.47499995,471528637.90326476,10582880
