code,n,k_ticks,k_pts,h,s_sum,s_ss,s_n,hits
IM0000,3,16,3.2,120,-164469.3000000035,1230795322.5900009,147131,72634
IM0000,3,20,4.0,5,-81079.20000000048,307765073.62000036,57212,29423
IM0000,3,20,4.0,10,-156784.10000000134,521328687.54999924,57197,28054
IM0000,3,20,4.0,20,-146543.8000000009,542378381.4000006,57171,28186
IM0000,3,20,4.0,40,-153611.00000000067,636624730.3600001,57157,28503
IM0000,3,20,4.0,80,-191674.90000000104,865572194.0699991,57108,28228
IM0000,3,20,4.0,120,-186907.10000000056,1014037200.4300004,57003,28238
IM0000,5,0,0.0,5,694151.7999998737,1258915490.3199997,22319901,10179201
IM0000,5,0,0.0,10,831682.49999985,1956828019.8700001,22311051,10331969
IM0000,5,0,0.0,20,827334.7999998328,2806914807.539996,22293351,10398859
IM0000,5,0,0.0,40,827119.9999998164,4532907858.500008,22257951,10427588
IM0000,5,0,0.0,80,830088.8999998147,7366357584.910005,22187151,10394795
IM0000,5,0,0.0,120,825364.9999998093,9476635467.36002,22116351,10368460
IM0000,5,1,0.2,5,631777.99999963,1106254106.9200006,17122328,8311783
IM0000,5,1,0.2,10,732762.2999996053,1721933902.3500001,17115921,8409338
IM0000,5,1,0.2,20,740351.5999995873,2413442619.8600044,17103426,8451301
IM0000,5,1,0.2,40,720360.699999578,3817019281.5699983,17079145,8469972
IM0000,5,1,0.2,80,757526.3999995779,6086841202.7,17031269,8441067
IM0000,5,1,0.2,120,742182.7999995729,7974591836.199999,16983279,8420086
IM0000,5,2,0.4,5,525368.6999997244,951698626.0900013,13214169,6453700
IM0000,5,2,0.4,10,578511.0999997038,1476646416.9500017,13209534,6504974
IM0000,5,2,0.4,20,552024.9999996875,2052434565.9000013,13200860,6524363
IM0000,5,2,0.4,40,547154.0999996779,3235801905.9300017,13184584,6536898
IM0000,5,2,0.4,80,559544.1999996781,5200630532.34,13152980,6515754
IM0000,5,2,0.4,120,559219.1999996733,6779674875.639995,13120692,6499631
IM0000,5,3,0.6,5,411987.1999997884,878862125.2,10409922,5105281
IM0000,5,3,0.6,10,439638.79999976925,1349816682.180002,10406515,5130709
IM0000,5,3,0.6,20,413619.19999975915,1851696797.6599963,10400372,5138390
IM0000,5,3,0.6,40,422279.4999997495,2865646234.609994,10388968,5148948
IM0000,5,3,0.6,80,442554.2999997498,4654227112.529992,10367150,5133531
IM0000,5,3,0.6,120,438750.4999997455,6027186964.230006,10344377,5120248
IM0000,5,4,0.8,5,312276.6999998174,813651360.089999,7893690,3885264
IM0000,5,4,0.8,10,305533.5999998046,1281766760.7599988,7891274,3891733
IM0000,5,4,0.8,20,267055.6999997959,1671967723.1699994,7887092,3893110
IM0000,5,4,0.8,40,260770.39999978797,2570333033.2399983,7879429,3902952
IM0000,5,4,0.8,80,271616.2999997892,4162934278.6099906,7865216,3892746
IM0000,5,4,0.8,120,246244.79999978596,5365612927.520014,7849698,3882828
IM0000,5,6,1.2,5,113912.19999989703,712925028.4800001,4354638,2140589
IM0000,5,6,1.2,10,59312.09999989194,1130360453.7299986,4353474,2136617
IM0000,5,6,1.2,20,58192.59999988698,1445613340.779999,4351612,2135714
IM0000,5,6,1.2,40,79525.2999998832,2093650844.3300023,4348208,2148074
IM0000,5,6,1.2,80,80381.29999988311,3467227178.189994,4342039,2144985
IM0000,5,6,1.2,120,80434.79999988132,4378406628.740007,4334481,2140429
