code,n,k_ticks,k_pts,x,s_sum,s_ss,s_n,hits
IM0000,25,60,12.0,10,-297197.3750000007,975974658.1181257,68342,36432
IM0000,25,90,18.0,10,-278492.12499999977,860018115.0218756,14149,7532
IM0000,30,0,0.0,10,66690.87499990335,2307514653.140625,22266801,10722432
IM0000,30,1,0.2,10,88523.02499981145,2070262051.3581216,20285204,9967060
IM0000,30,2,0.4,10,78439.04999982846,1972550634.5675004,18509605,9111529
IM0000,30,3,0.6,10,56926.849999838436,1916757241.2125013,17039155,8396439
IM0000,30,4,0.8,10,27438.674999837393,1884716130.131874,15435405,7616734
IM0000,30,6,1.2,10,-34346.975000138526,1785634167.0693767,12369831,6115034
IM0000,30,8,1.6,10,-102370.12500010754,1699166129.0568736,10118262,5004292
IM0000,30,10,2.0,10,-193381.82500005153,1651303652.3718762,7860695,3886833
IM0000,30,13,2.6,10,-265224.6500000621,1604014136.0362494,5781568,2857559
IM0000,30,16,3.2,10,-320088.90000004816,1571872403.28125,4056885,2005885
IM0000,30,20,4.0,10,-352740.62500001746,1548688200.9556277,2569260,1273490
IM0000,30,30,6.0,10,-371651.0750000065,1472904210.6506271,929409,467430
IM0000,30,45,9.0,10,-373979.9750000005,1313524493.9568732,265174,136966
IM0000,30,60,12.0,10,-338580.37500000035,1127651069.0068746,97389,51868
IM0000,30,90,18.0,10,-323053.45000000007,1000592255.2350003,21267,11241
