n,k_ticks,k_pts,x,s_sum,s_ss,s_n,hits
2,2,0.4,10,433780.8749997005,976892986.3468758,9287982,4528280
2,2,0.4,20,435069.89999969135,1475368131.3437505,9281713,4559375
2,2,0.4,40,434132.64999968716,2451293242.2149997,9270090,4581509
2,2,0.4,80,457381.97499968694,3994702792.5981317,9248884,4578774
2,2,0.4,120,457563.8249996872,5147458122.546871,9227169,4569459
2,4,0.8,2,82515.6499998706,158974742.0912501,4146756,1969024
2,4,0.8,5,149657.3749998588,400758590.32187456,4145666,1980693
2,4,0.8,10,136747.49999985567,728010402.9112504,4144093,2004126
2,4,0.8,20,144383.52499985212,1041647833.3068752,4141542,2020741
2,4,0.8,40,177390.87499984947,1750770371.254376,4137121,2036207
2,4,0.8,80,173435.94999984978,2958528779.5512433,4129598,2039466
2,4,0.8,120,179182.0499998502,3613367073.0799966,4121340,2036694
2,8,1.6,2,6600.324999979122,92642861.32812482,825846,393970
2,8,1.6,5,-10469.675000022373,228729848.83562472,825609,387881
2,8,1.6,10,-54455.550000023984,466056376.98250043,825286,391977
2,8,1.6,20,-39062.45000002466,634698493.9849991,824825,397859
2,8,1.6,40,-9106.02500002456,913816138.1268739,824110,403838
2,8,1.6,80,-43037.67500002442,1588248720.7568746,822934,404712
2,8,1.6,120,-27324.250000023865,2032781089.3874993,821388,404954
2,16,3.2,2,-20138.450000001394,74300763.96749993,59489,28704
2,16,3.2,5,-36774.85000000153,163548359.69000015,59467,29185
2,16,3.2,10,-94156.15000000167,328611467.55124956,59440,28387
2,16,3.2,20,-100271.37500000159,399565818.87062514,59401,28670
2,16,3.2,40,-96855.47500000139,431044051.69562525,59357,29198
2,16,3.2,80,-122055.6500000015,621820687.8512516,59284,29073
2,16,3.2,120,-128410.52500000151,784737151.1331257,59155,29044
2,30,6.0,2,-16887.12499999997,51692725.34062502,2981,1449
2,30,6.0,5,-39532.35,123925678.25749996,2978,1575
2,30,6.0,10,-84720.37499999993,262097623.315625,2971,1472
2,30,6.0,20,-83575.39999999997,265671928.67249984,2968,1503
2,30,6.0,40,-92069.04999999997,297615225.61749965,2965,1502
2,30,6.0,80,-111132.275,354488654.5906249,2962,1479
2,30,6.0,120,-118022.75000000006,387438183.075,2957,1405
2,45,9.0,2,-17492.925000000014,51667881.69687499,394,167
2,45,9.0,5,-42253.85000000001,123853656.23624998,393,183
2,45,9.0,10,-87320.60000000003,261931819.73375,391,161
2,45,9.0,20,-87947.09999999998,265345950.34375012,391,162
2,45,9.0,40,-95327.90000000004,286958177.2287501,389,162
2,45,9.0,80,-110943.25000000003,333321514.01125014,387,150
2,45,9.0,120,-117965.65000000002,355972480.8362499,387,142
2,90,18.0,2,-17748.175000000003,51662553.785624996,114,12
2,90,18.0,5,-43028.07500000001,123834853.26062502,114,16
2,90,18.0,10,-88457.525,261883691.80312502,114,11
2,90,18.0,20,-89027.075,265247948.92062506,114,11
2,90,18.0,40,-96981.975,286785478.98562497,112,11
2,90,18.0,80,-113259.17499999999,332908925.7356251,110,8
2,90,18.0,120,-120040.07500000001,355417512.860625,110,9
3,0,0.0,2,473018.42499990296,473680319.5331245,22328751,9574729
3,0,0.0,5,882642.3499998705,1085804416.4274976,22323441,9971176
3,0,0.0,10,1032510.3249998535,1826307401.0318756,22314591,10121842
3,0,0.0,20,1018946.7249998378,2612963750.2193713,22296891,10185639
3,0,0.0,40,977837.2249998258,4354664729.87313,22261491,10210162
3,0,0.0,80,1009639.1499998228,7007737185.14251,22190691,10178437
3,0,0.0,120,1010209.4749998202,9066648879.14938,22119891,10151751
3,1,0.2,2,373436.02499960654,369459403.7431251,15665976,7367566
3,1,0.2,5,713563.9499995649,877941661.2325006,15662378,7605910
3,1,0.2,10,827989.3249995471,1492249186.2818794,15656435,7696137
3,1,0.2,20,815928.9499995321,2143245537.5512512,15644910,7737318
3,1,0.2,40,800984.2499995236,3499381961.4025044,15622768,7755633
3,1,0.2,80,868206.7999995239,5534720809.406244,15579841,7732425
3,1,0.2,120,863395.5999995219,7366781036.466255,15536690,7714403
3,2,0.4,2,282603.0749997338,290107952.0756253,11128984,5296807
3,2,0.4,5,528876.6499997042,707768906.3175,11126469,5417263
3,2,0.4,10,593246.4249996877,1200870775.416875,11122406,5465218
3,2,0.4,20,568708.3249996753,1645188405.1931276,11114996,5487152
3,2,0.4,40,556072.574999668,2759668430.881879,11101295,5503768
3,2,0.4,80,595810.349999668,4403387755.598749,11075618,5490478
3,2,0.4,120,577893.8499996682,5766366342.27876,11049452,5478002
3,4,0.8,2,204416.32499984856,175715004.84937528,5636257,2742830
